web-scraper-order,web-scraper-start-url,Disease,Disease-href,Symptoms
1576022336-4522,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Chagas disease,https://www.mayoclinic.org/diseases-conditions/chagas-disease/symptoms-causes/syc-20356212,Rash
1576022254-4291,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anorexia nervosa,https://www.mayoclinic.org/diseases-conditions/anorexia-nervosa/symptoms-causes/syc-20353591,Abnormal blood counts
1576022467-4844,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Compulsive gambling,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178,Needing to gamble with increasing amounts of money to get the same thrill
1576022213-4159,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Appendicitis,https://www.mayoclinic.org/diseases-conditions/appendicitis/symptoms-causes/syc-20369543,Nausea and vomiting
1576022454-4810,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Adult attention-deficit/hyperactivity disorder (ADHD),https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,Excessive activity or restlessness
1576022511-4984,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acne,https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047,Whiteheads (closed plugged pores)
1576022420-4741,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],"Macular degeneration, wet",https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107,"Visual distortions, such as straight lines seeming bent"
1576022183-4087,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Psoriatic arthritis,https://www.mayoclinic.org/diseases-conditions/psoriatic-arthritis/symptoms-causes/syc-20354076,Lower back pain. Some people develop a condition called spondylitis as a result of psoriatic arthritis. Spondylitis mainly causes inflammation of the joints between the vertebrae of your spine and in the joints between your spine and pelvis (sacroiliitis).
1576022322-4474,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anal cancer,https://www.mayoclinic.org/diseases-conditions/anal-cancer/symptoms-causes/syc-20354140,A mass or growth in the anal canal
1576022228-4197,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aortic valve disease,https://www.mayoclinic.org/diseases-conditions/aortic-valve-disease/symptoms-causes/syc-20355117,Dizziness
1576022133-3961,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Reactive attachment disorder,https://www.mayoclinic.org/diseases-conditions/reactive-attachment-disorder/symptoms-causes/syc-20352939,Sad and listless appearance
1576022189-4099,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Gout,https://www.mayoclinic.org/diseases-conditions/gout/symptoms-causes/syc-20372897,"Inflammation and redness. The affected joint or joints become swollen, tender, warm and red."
1576022316-4463,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anal itching,https://www.mayoclinic.org/diseases-conditions/anal-itching/symptoms-causes/syc-20369345,Anal itching is severe or persistent
1576022121-3922,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Autonomic neuropathy,https://www.mayoclinic.org/diseases-conditions/autonomic-neuropathy/symptoms-causes/syc-20369829,"Sweating abnormalities, such as sweating too much or too little, which affect the ability to regulate body temperature."
1576022481-4905,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,Frequent or severe nosebleeds
1576022299-4395,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Vitamin deficiency anemia,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025,Weight loss
1576022461-4823,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Mesenteric lymphadenitis,https://www.mayoclinic.org/diseases-conditions/mesenteric-lymphadenitis/symptoms-causes/syc-20353799,"Abdominal pain, often centered on the lower right side, but the pain can be more widespread"
1576022338-4536,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Amenorrhea,https://www.mayoclinic.org/diseases-conditions/amenorrhea/symptoms-causes/syc-20369299,Acne
1576022299-4393,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Vitamin deficiency anemia,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025,Pale or yellowish skin
1576022394-4705,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Alcoholic hepatitis,https://www.mayoclinic.org/diseases-conditions/alcoholic-hepatitis/symptoms-causes/syc-20351388,"Fever, often low grade"
1576022140-3988,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atrioventricular canal defect,https://www.mayoclinic.org/diseases-conditions/atrioventricular-canal-defect/symptoms-causes/syc-20361492,Lack of appetite
1576022183-4086,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Psoriatic arthritis,https://www.mayoclinic.org/diseases-conditions/psoriatic-arthritis/symptoms-causes/syc-20354076,Foot pain. Psoriatic arthritis can also cause pain at the points where tendons and ligaments attach to your bones — especially at the back of your heel (Achilles tendinitis) or in the sole of your foot (plantar fasciitis).
1576022469-4858,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Drug addiction (substance use disorder),https://www.mayoclinic.org/diseases-conditions/drug-addiction/symptoms-causes/syc-20365112,"Spending money on the drug, even though you can't afford it"
1576022275-4359,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Vasculitis,https://www.mayoclinic.org/diseases-conditions/vasculitis/symptoms-causes/syc-20363435,General aches and pains
1576022435-4759,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Adult Still's disease,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,Sore throat. This is one of the first symptoms of adult Still's disease. The lymph nodes in your neck might be swollen and tender.
1576022119-3915,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Avascular necrosis,https://www.mayoclinic.org/diseases-conditions/avascular-necrosis/symptoms-causes/syc-20369859,"Fatty deposits in blood vessels. The fat (lipids) can block small blood vessels, reducing the blood flow that feeds bones."
1576022224-4180,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aortic valve stenosis,https://www.mayoclinic.org/diseases-conditions/aortic-stenosis/symptoms-causes/syc-20353139,Chest pain (angina) or tightness with activity
1576022283-4363,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Angelman syndrome,https://www.mayoclinic.org/diseases-conditions/angelman-syndrome/symptoms-causes/syc-20355621,"Developmental delays, including no crawling or babbling at 6 to 12 months"
1576022515-5001,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Infant reflux,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408,Has difficulty breathing or a chronic cough
1576022307-4432,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aplastic anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015,Skin rash
1576022522-5016,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,Physical problems. A naturally flat arch in your foot can put more strain on the Achilles tendon. Obesity and tight calf muscles also can increase tendon strain.
1576022234-4224,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anxiety disorders,https://www.mayoclinic.org/diseases-conditions/anxiety/symptoms-causes/syc-20350961,Trembling
1576022477-4889,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Radiation sickness,https://www.mayoclinic.org/diseases-conditions/radiation-sickness/symptoms-causes/syc-20377058,Hair loss
1576022162-4043,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Exercise-induced asthma,https://www.mayoclinic.org/diseases-conditions/exercise-induced-asthma/symptoms-causes/syc-20372300,Fatigue during exercise
1576022307-4430,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aplastic anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015,Nosebleeds and bleeding gums
1576022375-4644,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Latex allergy,https://www.mayoclinic.org/diseases-conditions/latex-allergy/symptoms-causes/syc-20374287,Hives or rash
1576022522-5019,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,"Medications. Certain types of antibiotics, called fluoroquinolones, have been associated with higher rates of Achilles tendinitis."
1576022520-5010,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Achilles tendon rupture,https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234,"Pain, possibly severe, and swelling near the heel"
1576022144-3999,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atrial fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,Lightheadedness
1576022505-4962,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acromegaly,https://www.mayoclinic.org/diseases-conditions/acromegaly/symptoms-causes/syc-20351222,Fatigue and muscle weakness
1576022283-4367,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Angelman syndrome,https://www.mayoclinic.org/diseases-conditions/angelman-syndrome/symptoms-causes/syc-20355621,Frequent smiling and laughter
1576022191-4102,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Osteoarthritis,https://www.mayoclinic.org/diseases-conditions/osteoarthritis/symptoms-causes/syc-20351925,Stiffness. Joint stiffness might be most noticeable upon awakening or after being inactive.
1576022469-4861,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Drug addiction (substance use disorder),https://www.mayoclinic.org/diseases-conditions/drug-addiction/symptoms-causes/syc-20365112,"Doing things to get the drug that you normally wouldn't do, such as stealing"
1576022448-4788,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Adnexal tumors,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053,Ovaries
1576022338-4530,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Amenorrhea,https://www.mayoclinic.org/diseases-conditions/amenorrhea/symptoms-causes/syc-20369299,Milky nipple discharge
1576022205-4143,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Arteriosclerosis / atherosclerosis,https://www.mayoclinic.org/diseases-conditions/arteriosclerosis-atherosclerosis/symptoms-causes/syc-20350569,"If you have atherosclerosis in the arteries leading to your kidneys, you develop high blood pressure or kidney failure."
1576022314-4462,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anaphylaxis,https://www.mayoclinic.org/diseases-conditions/anaphylaxis/symptoms-causes/syc-20351468,Dizziness or fainting
1576022199-4126,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Giant cell arteritis,https://www.mayoclinic.org/diseases-conditions/giant-cell-arteritis/symptoms-causes/syc-20372758,Unintended weight loss
1576022316-4465,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anal itching,https://www.mayoclinic.org/diseases-conditions/anal-itching/symptoms-causes/syc-20369345,The anal area seems to be infected
1576022398-4720,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Alcohol intolerance,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211,Nausea and vomiting
1576022346-4549,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Alzheimer's disease,https://www.mayoclinic.org/diseases-conditions/alzheimers-disease/symptoms-causes/syc-20350447,Get lost in familiar places
1576022303-4408,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Iron deficiency anemia,https://www.mayoclinic.org/diseases-conditions/iron-deficiency-anemia/symptoms-causes/syc-20355034,Weakness
1576022265-4333,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anhidrosis,https://www.mayoclinic.org/diseases-conditions/anhidrosis/symptoms-causes/syc-20369400,Feeling hot
1576022526-5021,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acanthosis nigricans,https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/symptoms-causes/syc-20368983,"Hormonal disorders. Acanthosis nigricans often occurs in people who have disorders such as ovarian cysts, underactive thyroids or problems with the adrenal glands."
1576022301-4405,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Sickle cell anemia,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876,Delayed growth. Red blood cells provide your body with the oxygen and nutrients you need for growth. A shortage of healthy red blood cells can slow growth in infants and children and delay puberty in teenagers.
1576022146-4008,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atopic dermatitis (eczema),https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273,"Raw, sensitive, swollen skin from scratching"
1576022442-4767,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Pheochromocytoma,https://www.mayoclinic.org/diseases-conditions/pheochromocytoma/symptoms-causes/syc-20355367,Headache
1576022342-4537,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Lazy eye (amblyopia),https://www.mayoclinic.org/diseases-conditions/lazy-eye/symptoms-causes/syc-20352391,An eye that wanders inward or outward
1576022217-4167,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Canker sore,https://www.mayoclinic.org/diseases-conditions/canker-sore/symptoms-causes/syc-20370615,Are usually small
1576022400-4724,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Albinism,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184,Large freckle-like spots (lentigines)
1576022442-4766,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Pheochromocytoma,https://www.mayoclinic.org/diseases-conditions/pheochromocytoma/symptoms-causes/syc-20355367,Heavy sweating
1576022373-4636,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Milk allergy,https://www.mayoclinic.org/diseases-conditions/milk-allergy/symptoms-causes/syc-20375101,Hives
1576022291-4374,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Thoracic aortic aneurysm,https://www.mayoclinic.org/diseases-conditions/thoracic-aortic-aneurysm/symptoms-causes/syc-20350188,Tenderness or pain in the chest
1576022307-4427,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aplastic anemia,https://www.mayoclinic.org/diseases-conditions/aplastic-anemia/symptoms-causes/syc-20355015,Pale skin
1576022226-4192,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aortic valve regurgitation,https://www.mayoclinic.org/diseases-conditions/aortic-valve-regurgitation/symptoms-causes/syc-20353129,Irregular pulse (arrhythmia)
1576022513-4992,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],ACL injury,https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738,Rapid swelling
1576022309-4435,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anemia,https://www.mayoclinic.org/diseases-conditions/anemia/symptoms-causes/syc-20351360,Fatigue
1576022261-4318,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Sprained ankle,https://www.mayoclinic.org/diseases-conditions/sprained-ankle/symptoms-causes/syc-20353225,Bruising
1576022242-4266,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Antiphospholipid syndrome,https://www.mayoclinic.org/diseases-conditions/antiphospholipid-syndrome/symptoms-causes/syc-20355831,Stroke. A stroke can occur in a young person who has antiphospholipid syndrome but no known risk factors for cardiovascular diseases.
1576022228-4201,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aortic valve disease,https://www.mayoclinic.org/diseases-conditions/aortic-valve-disease/symptoms-causes/syc-20355117,Fatigue after being active or having less ability to be active
1576022522-5014,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Achilles tendinitis,https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/symptoms-causes/syc-20369020,Your sex. Achilles tendinitis occurs most commonly in men.
1576022444-4776,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,Hormone changes in men that might cause enlarged breast tissue and shrinking testicles
1576022263-4326,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Broken ankle,https://www.mayoclinic.org/diseases-conditions/broken-ankle/symptoms-causes/syc-20450025,Tenderness
1576022275-4355,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Vasculitis,https://www.mayoclinic.org/diseases-conditions/vasculitis/symptoms-causes/syc-20363435,Fever
1576022138-3984,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atrioventricular nodal reentry tachycardia (AVNRT),https://www.mayoclinic.org/diseases-conditions/avnrt/cdc-20355254,"Echocardiogram, which uses sound waves to produce images of your heart's size, structure and motion"
1576022252-4286,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Anorgasmia in women,https://www.mayoclinic.org/diseases-conditions/anorgasmia/symptoms-causes/syc-20369422,"Acquired anorgasmia. You used to have orgasms, but now have difficulty reaching climax."
1576022398-4716,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Alcohol intolerance,https://www.mayoclinic.org/diseases-conditions/alcohol-intolerance/symptoms-causes/syc-20369211,"Red, itchy skin bumps (hives)"
1576022355-4576,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Hair loss,https://www.mayoclinic.org/diseases-conditions/hair-loss/symptoms-causes/syc-20372926,Sudden loosening of hair. A physical or emotional shock can cause hair to loosen. Handfuls of hair may come out when combing or washing your hair or even after gentle tugging. This type of hair loss usually causes overall hair thinning and not bald patches.
1576022509-4982,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Acoustic neuroma,https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127,Dizziness (vertigo)
1576022324-4483,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Amyloidosis,https://www.mayoclinic.org/diseases-conditions/amyloidosis/symptoms-causes/syc-20353178,"Skin changes, such as thickening or easy bruising, and purplish patches around the eyes"
1576022467-4850,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Compulsive gambling,https://www.mayoclinic.org/diseases-conditions/compulsive-gambling/symptoms-causes/syc-20355178,"Jeopardizing or losing important relationships, a job, or school or work opportunities because of gambling"
1576022377-4645,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Food allergy,https://www.mayoclinic.org/diseases-conditions/food-allergy/symptoms-causes/syc-20355095,Tingling or itching in the mouth
1576022400-4723,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Albinism,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184,"Moles, with or without pigment — moles without pigment are generally pink-colored"
1576022301-4403,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Sickle cell anemia,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876,Painful swelling of hands and feet. The swelling is caused by sickle-shaped red blood cells blocking blood flow to the hands and feet.
1576022289-4369,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Aneurysms,https://www.mayoclinic.org/diseases-conditions/aneurysms/symptoms-causes/syc-20354633,The aorta — the major blood vessel carrying blood from your heart to vital organs (aortic aneurysm)
1576022390-4694,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Primary aldosteronism,https://www.mayoclinic.org/diseases-conditions/primary-aldosteronism/symptoms-causes/syc-20351803,Excessive thirst
1576022328-4499,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Amniotic fluid embolism,https://www.mayoclinic.org/diseases-conditions/amniotic-fluid-embolism/symptoms-causes/syc-20369324,"Bleeding from the uterus, cesarean incision or intravenous (IV) sites"
1576022444-4780,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Adrenal cancer,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,Back pain
1576022471-4872,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Alcohol use disorder,https://www.mayoclinic.org/diseases-conditions/alcohol-use-disorder/symptoms-causes/syc-20369243,Giving up or reducing social and work activities and hobbies
1576022238-4243,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Generalized anxiety disorder,https://www.mayoclinic.org/diseases-conditions/generalized-anxiety-disorder/symptoms-causes/syc-20360803,Overthinking plans and solutions to all possible worst-case outcomes
1576022195-4116,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Arthritis,https://www.mayoclinic.org/diseases-conditions/arthritis/symptoms-causes/syc-20350772,Decreased range of motion
1576022144-4001,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Atrial fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,Shortness of breath
1576022299-4398,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Vitamin deficiency anemia,https://www.mayoclinic.org/diseases-conditions/vitamin-deficiency-anemia/symptoms-causes/syc-20355025,Personality changes
1576022240-4259,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Antisocial personality disorder,https://www.mayoclinic.org/diseases-conditions/antisocial-personality-disorder/symptoms-causes/syc-20353928,Lack of empathy for others and lack of remorse about harming others
1576022528-5026,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Separated shoulder,https://www.mayoclinic.org/diseases-conditions/separated-shoulder/symptoms-causes/syc-20354049,Shoulder bruising or swelling
1576022240-4261,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Antisocial personality disorder,https://www.mayoclinic.org/diseases-conditions/antisocial-personality-disorder/symptoms-causes/syc-20353928,Poor or abusive relationships
1576022133-3960,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Reactive attachment disorder,https://www.mayoclinic.org/diseases-conditions/reactive-attachment-disorder/symptoms-causes/syc-20352939,"Unexplained withdrawal, fear, sadness or irritability"
1576022517-5006,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Gastroesophageal reflux disease (GERD),https://www.mayoclinic.org/diseases-conditions/gerd/symptoms-causes/syc-20361940,Difficulty swallowing
1576022301-4401,https://www.mayoclinic.org/diseases-conditions/index?letter=[A-Z],Sickle cell anemia,https://www.mayoclinic.org/diseases-conditions/sickle-cell-anemia/symptoms-causes/syc-20355876,"Anemia. Sickle cells break apart easily and die, leaving you without enough red blood cells. Red blood cells usually live for about 120 days before they need to be replaced. But sickle cells usually die in 10 to 20 days, leaving a shortage of red blood cells (anemia).
    Without enough red blood cells, your body can't get the oxygen it needs to feel energized, causing fatigue."
