Disease,Diagnosis_treatment
Hair loss,"Before making a diagnosis, your doctor will likely give you a physical exam and ask about your medical history and family history. He or she may also perform tests, such as the following:
Effective treatments for some types of hair loss are available. You might be able to reverse hair loss, or at least slow further thinning. With some conditions, such as patchy hair loss (alopecia areata), hair may regrow without treatment within a year.
Treatments for hair loss include medications, surgery to promote hair growth and slow hair loss.
If your hair loss is caused by an underlying disease, treatment for that disease will be necessary. This may include drugs to reduce inflammation and suppress your immune system, such as prednisone. If a certain medication is causing the hair loss, your doctor may advise you to stop using it for at least three months.
Medications are available to treat pattern (hereditary) baldness. Options include:
Minoxidil (Rogaine). This is an over-the-counter (nonprescription) medication approved for men and women. It comes as a liquid or foam that you rub into your scalp daily. Wash your hands after application. At first it may cause you to shed hair. New hair may be shorter and thinner than previous hair. At least six months of treatment is required to prevent further hair loss and to start hair regrowth. You need to keep applying the medication to retain benefits.
Possible side effects include scalp irritation, unwanted hair growth on the adjacent skin of the face and hands, and rapid heart rate (tachycardia).
Finasteride (Propecia). This is a prescription drug approved for men. You take it daily as a pill. Many men taking finasteride experience a slowing of hair loss, and some may show some new hair growth. You need to keep taking it to retain benefits. Finasteride may not work as well for men over 60.
Rare side effects of finasteride include diminished sex drive and sexual function and an increased risk of prostate cancer. Women who are or may be pregnant need to avoid touching crushed or broken tablets.
A typical hair transplant involves removing patches of hair from your head and reinserting the hair follicle by follicle into the bald sections.
In the most common type of permanent hair loss, only the top of the head is affected. Hair transplant, or restoration surgery, can make the most of the hair you have left.
During a hair transplant procedure, a dermatologist or cosmetic surgeon removes tiny patches of skin, each containing one to several hairs, from the back or side of your scalp. Sometimes a larger strip of skin containing multiple hair groupings is taken. He or she then implants the hair follicle by follicle into the bald sections. Some doctors recommend using minoxidil after the transplant, to help minimize hair loss. And you may need more than one surgery to get the effect you want. Hereditary hair loss will eventually progress despite surgery.
Surgical procedures to treat baldness are expensive and can be painful. Possible risks include bleeding and scarring.
The Food and Drug Administration has approved a low-level laser device as a treatment for hereditary hair loss in men and women. A few small studies have shown that it improves hair density. More studies are needed to show long-term effects.
You may want to try shaving, other styling techniques and products, scarves, a wig, or a hairpiece. Talk with a hair stylist for ideas. These nonmedical solutions can be used to cover permanent or temporary hair loss.
If your hair loss is due to a medical condition, the cost of a wig may be covered by insurance.
You're likely to first bring your concerns to the attention of your family doctor. He or she may refer you to a doctor who specializes in the treatment of skin problems (dermatologist).
Your time with your doctor is limited, so preparing a list of questions will help you make the most of your time together. List your questions from most important to least important in case time runs out. For hair loss, some basic questions to ask your doctor include:
Your doctor is likely to ask you a number of questions. Being ready to answer them may reserve time to go over any points you want to spend more time on. Your doctor may ask:"
Chagas disease,"Your doctor will conduct a physical exam, asking about your symptoms and any factors that put you at risk of Chagas disease.
If you have the signs and symptoms of Chagas disease, blood tests can confirm the presence of the T. cruzi parasite or the proteins that your immune system creates (antibodies) to fight the parasite in your blood.
If you're diagnosed with Chagas disease, you'll likely undergo additional tests to determine whether the disease has entered the chronic phase and caused heart or digestive complications. These tests may include:
Treatment for Chagas disease focuses on killing the parasite and managing signs and symptoms.
During the acute phase of Chagas disease, the prescription medications benznidazole and nifurtimox may be of benefit. Although benznidazole is approved by the Food and Drug Administration (FDA) for use in children ages 2 to 12, it's not yet available in United States pharmacies. Nifurtimox is not currently FDA approved. Both drugs are available in the regions most affected by Chagas disease. In the U.S., however, the drugs can be obtained only through the Centers for Disease Control and Prevention (CDC).
Once Chagas disease reaches the chronic phase, medications won't cure the disease. But, the drugs may be offered to people younger than age 50 because they may help slow the progression of the disease and its most serious complications.
Additional treatment depends on the specific signs and symptoms:
You're likely to start by seeing your family doctor. Depending on his or her findings, your doctor may refer you to an infectious disease specialist.
It's a good idea to be well-prepared for your appointment. Here's some information to help you get ready for your appointment, and what to expect from your doctor.
Preparing a list of questions will help you make the most of your time with your doctor. For Chagas disease, some basic questions to ask your doctor include:
Your doctor is likely to ask you a number of questions, including:"
Anorexia nervosa,"If your doctor suspects that you have anorexia nervosa, he or she will typically do several tests and exams to help pinpoint a diagnosis, rule out medical causes for the weight loss, and check for any related complications.
These exams and tests generally include:
Your mental health professional also may use the diagnostic criteria for anorexia in the Diagnostic and Statistical Manual of Mental Disorders (DSM-5), published by the American Psychiatric Association.
Treatment for anorexia is generally done using a team approach, which includes doctors, mental health professionals and dietitians, all with experience in eating disorders. Ongoing therapy and nutrition education are highly important to continued recovery.
Here's a look at what's commonly involved in treating people with anorexia.
If your life is in immediate danger, you may need treatment in a hospital emergency room for such issues as a heart rhythm disturbance, dehydration, electrolyte imbalances or a psychiatric emergency. Hospitalization may be required for medical complications, severe psychiatric problems, severe malnutrition or continued refusal to eat.
Some clinics specialize in treating people with eating disorders. They may offer day programs or residential programs rather than full hospitalization. Specialized eating disorder programs may offer more-intensive treatment over longer periods of time.
Because of the host of complications anorexia causes, you may need frequent monitoring of vital signs, hydration level and electrolytes, as well as related physical conditions. In severe cases, people with anorexia may initially require feeding through a tube that's placed in their nose and goes to the stomach (nasogastric tube).
Care is usually coordinated by a primary care doctor or a mental health professional, with other professionals involved.
The first goal of treatment is getting back to a healthy weight. You can't recover from anorexia without returning to a healthy weight and learning proper nutrition. Those involved in this process may include:
These types of therapy may be beneficial for anorexia:
No medications are approved to treat anorexia because none has been found to work very well. However, antidepressants or other psychiatric medications can help treat other mental health disorders you may also have, such as depression or anxiety.
One of the biggest challenges in treating anorexia is that people may not want treatment. Barriers to treatment may include:
People with anorexia can recover. However, they're at increased risk of relapse during periods of high stress or during triggering situations. Ongoing therapy or periodic appointments during times of stress may help you stay healthy.
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_9_ctLink_9"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20179258"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
When you have anorexia, it can be difficult to take care of yourself properly. In addition to professional treatment, follow these steps:
Dietary supplements and herbal products designed to suppress the appetite or aid in weight loss may be abused by people with anorexia. Weight-loss supplements or herbs can have serious side effects and dangerously interact with other medications. These products do not go through a rigorous review process and may have ingredients that are not posted on the bottle.
Keep in mind that natural doesn't always mean safe. If you use dietary supplements or herbs, discuss the potential risks with your doctor.
Anxiety-reducing approaches that complement anorexia treatment may increase the sense of well-being and promote relaxation. Examples of these approaches include massage, yoga and meditation.
You may find it difficult to cope with anorexia when you're hit with mixed messages by the media, culture, and perhaps your own family or friends. You may even have heard people joke that they wish they could have anorexia for a while so that they could lose weight.
Whether you have anorexia or your loved one has anorexia, ask your doctor or mental health professional for advice on coping strategies and emotional support. Learning effective coping strategies and getting the support you need from family and friends are vital to successful treatment.
Here's some information to help you get ready for your appointment and know what to expect from your doctor or mental health professional.
You may want to ask a family member or friend to go with you. Someone who accompanies you may remember something that you missed or forgot. A family member may also be able to give your doctor a fuller picture of your home life.
Before your appointment, make a list of:
Some questions you might want to ask your doctor or mental health professional include:
Don't hesitate to ask other questions during your appointment.
Your doctor or mental health professional is likely to ask you a number of questions, including:
Be ready to answer these questions to reserve time to go over any points you want to focus on."
Takayasu's arteritis,"Your doctor will ask you about your signs and symptoms, conduct a physical exam, and take your medical history. He or she may also have you undergo some of the following tests and procedures to help rule out other conditions that resemble Takayasu's arteritis and to confirm the diagnosis. Some of these tests may also be used to check on your progress during treatment.
Treatment of Takayasu's arteritis focuses on controlling the inflammation with medications and preventing further damage to your blood vessels. Takayasu's arteritis can sometimes be difficult to treat because even if your symptoms improve, the disease might still be active. In addition, by the time some people are diagnosed, it's possible that irreversible damage has already occurred.
On the other hand, if you don't have a lot of signs and symptoms or serious complications, you may not need treatment.
Talk with your doctor about the drug or drug combinations that are options for you and what the possible side effects are. Your doctor may prescribe:
Corticosteroids to control inflammation. The first line of treatment is usually with a corticosteroid, such as prednisone. Even if you soon start feeling better, you may need to continue taking the drug long term. After a few months, your doctor may gradually begin to lower the dose until you reach the lowest dose you need to control inflammation. Eventually your doctor may tell you to stop taking the medication completely.
Possible side effects of corticosteroids include weight gain, increased risk of infections, bone thinning (osteoporosis) and menstrual irregularities. To help prevent bone loss, your doctor may recommend a calcium supplement and vitamin D.
If your arteries become severely narrowed or blocked, you may need surgery to open or bypass these arteries and allow an uninterrupted flow of blood. Often this helps to improve certain symptoms, such as high blood pressure and chest pain.
In some cases, though, narrowing or blockage may recur, requiring a second procedure. Also, if you develop large aneurysms, surgery may be needed to prevent them from rupturing. Your doctor may suggest putting off surgery until your condition is in remission.
Surgical options, which are best performed when inflammation of the arteries has been reduced, include:
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_5_ctLink_5"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20156915"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
One of the greatest challenges of living with Takayasu's arteritis may be coping with side effects of your medication. The following suggestions may help:
Eat a healthy diet. Eating well can help prevent potential problems that can result from your condition and medications, such as high blood pressure, thinning bones and diabetes. Emphasize fresh fruits and vegetables, whole grains, and lean meats and fish, while limiting salt, sugar and alcohol.
If you're taking a corticosteroid drug, ask your doctor if you need to take a vitamin D or calcium supplement.
If your primary care doctor suspects that you have Takayasu's arteritis, he or she may refer you to one or more specialists with experience in helping people with this condition. Takayasu's arteritis is a rare disorder that can be difficult to diagnose and treat.
You may want to talk with your doctor about a referral to a medical center that specializes in treating vasculitis.
Because appointments can be brief and because there's often a lot of information to discuss, it's a good idea to be prepared. Here's some information to help you get ready for your appointment.
For Takayasu's arteritis, some basic questions to ask include:
Your doctor will likely ask you a number of questions, such as:"
Aortic valve disease,"To diagnose aortic valve disease, your doctor may review your signs and symptoms, discuss your medical history, and conduct a physical examination. Your doctor may listen to your heart with a stethoscope to determine if you have a heart murmur that may indicate an aortic valve condition. A doctor trained in heart disease (cardiologist) may evaluate you.
Your doctor may order several tests to diagnose your condition, including:
Echocardiogram. This test uses sound waves to provide video images of your heart in motion. During this test, specialists hold a wandlike device (transducer) on your chest. Doctors may use this test to evaluate your heart chambers, the aortic valve and the blood flow through your heart.
This test can help doctors closely look at the condition of the aortic valve, and the cause and severity of your condition. It can also help doctors determine if you have additional heart valve conditions. Doctors may also use a 3-D echocardiogram.
Doctors may conduct another type of echocardiogram called a transesophageal echocardiogram to get a closer look at the aortic valve. In this test, a small transducer attached to the end of a tube is inserted down the tube leading from your mouth to your stomach (esophagus).
Cardiac catheterization. This test isn't often used to diagnose aortic valve disease, but it may be used if other tests aren't able to diagnose the condition or to determine its severity.
In this procedure, a doctor threads a thin tube (catheter) through a blood vessel in your arm or groin to an artery in your heart and injects dye through the catheter to make the artery visible on an X-ray. This provides your doctor with a detailed picture of your heart arteries and how your heart functions. It can also measure the pressure inside the heart chambers.
Treatment for aortic valve disease depends on the severity of your condition, whether or not you're experiencing signs and symptoms, and if your condition is getting worse.
If your symptoms are mild or you aren't experiencing symptoms, your doctor may monitor your condition with regular follow-up appointments. Your doctor may recommend you make healthy lifestyle changes and take medications to treat symptoms or reduce the risk of complications.
You may eventually need surgery to repair or replace the diseased aortic valve. In some cases, your doctor may recommend surgery even if you aren't experiencing symptoms. If you're having another heart surgery, doctors may perform aortic valve surgery at the same time.
If you have aortic valve disease, consider being evaluated and treated at a medical center with a multidisciplinary team of cardiologists and other doctors and medical staff trained and experienced in evaluating and treating heart valve disease. This team can work closely with you to determine the most appropriate treatment for your condition.
Surgery to repair or replace an aortic valve is usually performed through a cut (incision) in the chest. In some cases, doctors may perform minimally invasive heart surgery, which involves the use of smaller incisions than those used in open-heart surgery.
Surgery options include:
To repair an aortic valve, surgeons may conduct several different types of repair, including separating valve flaps (cusps) that have fused, removing excess valve tissue so that the cusps can close tightly, or patching holes in a valve.
Doctors may conduct a procedure using a long, thin tube (catheter) to repair a valve with a narrowed opening (aortic valve stenosis). In this procedure, called balloon valvuloplasty, a doctor inserts a catheter with a balloon on the tip into an artery in your arm or groin and guides it to the aortic valve. A doctor then inflates the balloon, which expands the opening of the valve. The balloon is then deflated, and the catheter and balloon are removed.
The procedure can treat aortic valve stenosis in infants and children. However, the valve tends to narrow again in adults who've had the procedure, so it's usually only performed in adults who are too ill for surgery or who are waiting for a valve replacement, as they typically need additional procedures to treat the narrowed valve over time.
Doctors may also use a catheter procedure to insert a plug or device to repair a leaking replacement aortic valve.
In a biological valve replacement, a biological or tissue valve replaces the damaged valve.
Aortic valve replacement is often needed to treat aortic valve disease. In aortic valve replacement, your surgeon removes the damaged valve and replaces it with a mechanical valve or a valve made from cow, pig or human heart tissue (biological tissue valve). Another type of biological tissue valve replacement that uses your own pulmonary valve is sometimes possible.
In a mechanical valve replacement, a mechanical valve replaces the damaged valve.
Biological tissue valves degenerate over time and may eventually need to be replaced. People with mechanical valves will need to take blood-thinning medications for life to prevent blood clots. Your doctor will discuss with you the benefits and risks of each type of valve and discuss which valve may be appropriate for you.
Transcatheter aortic valve replacement (TAVR) is a minimally invasive procedure to replace a narrowed aortic valve that fails to open properly (aortic valve stenosis). In this procedure, doctors insert a catheter in your leg or chest and guide it to your heart. A replacement valve is inserted through the catheter and guided to your heart. A balloon is expanded to press the valve into place. Some TAVR valves are self-expanding.
Doctors may perform a less invasive procedure called transcatheter aortic valve replacement (TAVR) to replace a narrowed aortic valve. TAVR may be an option for people who are considered to be at intermediate or high risk of complications from surgical aortic valve replacement.
In TAVR, doctors insert a catheter in your leg or chest and guide it to your heart. A replacement valve is then inserted through the catheter and guided to your heart. A balloon may expand the valve, or some valves can self-expand. When the valve is implanted, doctors remove the catheter from your blood vessel.
Doctors may also conduct a catheter procedure to insert a replacement valve into a failing biological tissue valve that is no longer working properly. Other catheter procedures to repair or replace aortic valves continue to be researched.
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_7_ctLink_7"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20214390"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
You'll have regular follow-up appointments with your doctor to monitor your condition.
Your doctor may suggest you incorporate several heart-healthy lifestyle changes into your life, including:
For women with aortic valve disease, it's important to talk with your doctor before you become pregnant. Your doctor can discuss with you which medications you can safely take, and whether you may need a procedure to treat your valve condition prior to pregnancy.
You'll likely require close monitoring by your doctor during pregnancy. Doctors may recommend that women with severe valve conditions avoid pregnancy to avoid the risk of complications.
If you have aortic valve disease, here are some steps that may help you cope:
If you think you have aortic valve disease, make an appointment to see your doctor. Here's some information to help you prepare for your appointment.
For aortic valve disease, some basic questions to ask your doctor include:
Don't hesitate to ask other questions you have.
Your doctor is likely to ask you a number of questions, including:"
Churg-Strauss syndrome,"No specific test can confirm Churg-Strauss syndrome. Because signs and symptoms are similar to those of other diseases, it can be difficult to diagnose.
The early signs and symptoms, such as asthma and sinusitis, tend to be fairly commonplace, so a diagnosis might not be made until the inflammation has caused serious damage to organs and nerves.
The American College of Rheumatology has established criteria for identifying Churg-Strauss syndrome. You're generally considered to have the condition if you have four of the six criteria. The criteria are:
To diagnose Churg-Strauss syndrome, your doctor is likely to request several tests, including:
Blood tests. When your immune system attacks your body's own cells, as happens in Churg-Strauss syndrome, it forms proteins called autoantibodies.
A blood test can detect certain autoantibodies in your blood that can suggest, but not confirm, a diagnosis of Churg-Strauss syndrome. It can also measure the level of eosinophils, although other diseases, including asthma, can increase the number of these cells.
There's no cure for Churg-Strauss syndrome, also known as eosinophilic granulomatosis with polyangiitis (EGPA). But medications can help manage your symptoms.
Medications used to treat Churg-Strauss syndrome include:
Corticosteroids. Prednisone, which reduces inflammation, is the most commonly prescribed drug for Churg-Strauss syndrome. Your doctor might prescribe a high dose of corticosteroids or a boost in your current dose of corticosteroids to get your symptoms under control quickly.
But because high doses of corticosteroids can cause serious side effects, your doctor will decrease the dose gradually until you're taking the smallest amount that will keep your disease under control. Even lower doses taken for extended periods can cause side effects.
Side effects of corticosteroids include bone loss, high blood sugar, weight gain, cataracts and hard-to-treat infections.
Other immunosuppressive drugs. For people with mild symptoms, a corticosteroid alone may be enough. Other people require another immunosuppressive drug, such as cyclophosphamide, azathioprine (Azasan, Imuran) or methotrexate (Trexall), to further reduce the body's immune reaction.
Because these drugs impair your body's ability to fight infection and can cause other serious side effects, your condition will be closely monitored while you're taking them.
Biologic medications. Drugs such as the recently Food and Drug Administration-approved mepolizumab (Nucala), as well as benralizumab (Fasenra) and rituximab (Rituxan), alter the immune system's response and seem to improve symptoms and decrease the number of eosinophils.
These medications have been studied only in small trials, and their long-term safety and effectiveness are still unknown.
Drug therapy can relieve symptoms of Churg-Strauss syndrome and send the disease into remission. But relapses are common.
Your doctor likely will conduct blood and other tests regularly to monitor your condition and your reaction to the drugs you're taking.
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_4_ctLink_4"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20193985"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
Long-term treatment with prednisone can cause a number of side effects. You can minimize these problems by taking the following steps:
Here are some suggestions for coping with Churg-Strauss syndrome:
If you have signs and symptoms common to Churg-Strauss syndrome, make an appointment with your doctor. Early diagnosis and treatment significantly improves the outlook of this condition.
If your primary care doctor suspects Churg-Strauss syndrome, he or she will likely refer you to a doctor who specializes in disorders that cause blood vessel inflammation (vasculitis), such as a rheumatologist or immunologist. You might also see a pulmonologist since Churg-Strauss affects your respiratory tract.
Here's some information to help you get ready for your appointment.
When you make an appointment, ask if you need to do anything in advance, such as restrict your diet. Also ask if you need to stay at your doctor's office for observation following your tests.
Make a list of:
If you've seen other doctors for your condition, bring a letter summarizing their findings and copies of recent chest X-rays or sinus X-rays. Take a family member or friend along to help you remember the information you receive.
Basic questions to ask your doctor might include:
A doctor who sees you for possible Churg-Strauss syndrome is likely to ask you questions, such as:"
Aphasia,"Your doctor will likely give you a physical and a neurological exam, test your strength, feeling and reflexes, and listen to your heart and the vessels in your neck. He or she will likely request an imaging test, usually an MRI, to quickly identify what's causing the aphasia.
You'll also likely undergo tests and informal observations to assess your language skills, such as the ability to:
If the brain damage is mild, a person may recover language skills without treatment. However, most people undergo speech and language therapy to rehabilitate their language skills and supplement their communication experiences. Researchers are currently investigating the use of medications, alone or in combination with speech therapy, to help people with aphasia.
Recovery of language skills is usually a relatively slow process. Although most people make significant progress, few people regain full pre-injury communication levels.
For aphasia, speech and language therapy tries to improve the person's ability to communicate by restoring as much language as possible, teaching how to compensate for lost language skills and finding other methods of communicating.
Therapy:
Certain drugs are currently being studied for the treatment of aphasia. These include drugs that may improve blood flow to the brain, enhance the brain's recovery ability or help replace depleted chemicals in the brain (neurotransmitters). Several medications, such as memantine (Namenda) and piracetam, have shown promise in small studies. But more research is needed before these treatments can be recommended.
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_3_ctLink_3"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20369504"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
If you have aphasia, the following tips may help you communicate with others:
Family members and friends can use the following tips when communicating with a person with aphasia:
Local chapters of such organizations as the National Aphasia Association, the American Stroke Association, the American Heart Association and some medical centers may offer support groups for people with aphasia and others affected by the disorder. These groups provide people with a sense of community, a place to air frustrations and learn coping strategies. Ask your doctor or speech-language pathologist if he or she knows of any local support groups.
If your aphasia is due to a stroke or head injury, you'll probably first see an emergency room physician. You'll then see a doctor who specializes in disorders of the nervous system (neurologist), and you may eventually be referred to a speech-language pathologist for rehabilitation.
Because this condition generally arises as an emergency, you won't have time to prepare. If possible, bring the medications or supplements you take with you to the hospital so that your doctor is aware of them.
When you have follow-up appointments, you'll likely need a companion to drive you to your doctor's office. In addition, this person may be able to help you communicate with your doctor.
Some questions a loved one or friend may want to ask your doctor include:
Your doctor will likely have questions, too. A loved one or friend can help your doctor get the information needed. Your doctor may ask:"
Angiosarcoma,"Tests and procedures used in angiosarcoma diagnosis include:
Which angiosarcoma treatment is best for you depends on your cancer's location, its size and whether it has spread to other areas of your body.
Treatment options may include:
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_3_ctLink_3"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20128705"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
If you have signs and symptoms that worry you, start by seeing your family doctor. If your doctor suspects you may have angiosarcoma, you may be referred to a doctor who specializes in skin diseases (dermatologist) or one that specializes in treating cancer (oncologist).
Because appointments can be brief, and because there's often a lot of ground to cover, it's a good idea to be well-prepared. Here's some information to help you get ready, and what to expect from your doctor.
Your time with your doctor is limited, so preparing a list of questions can help you make the most of your time together. List your questions from most important to least important in case time runs out. For angiosarcoma, some basic questions to ask your doctor include:
If any additional questions occur to you during your visit, don't hesitate to ask.
Your doctor is likely to ask you a number of questions. Being ready to answer them may reserve time to go over points you want to talk about in-depth. Your doctor may ask:"
Childhood asthma,"Asthma can be hard to diagnose. Your child's doctor will consider the symptoms and their frequency and your child's medical history. Your child might need tests to rule out other conditions and to identify the most likely cause of the symptoms.
A number of childhood conditions can have symptoms similar to those caused by asthma. To complicate the issue further, these conditions also commonly occur with asthma. So your child's doctor will have to determine whether your child's symptoms are caused by asthma, a condition other than asthma, or both asthma and another condition.
Conditions that can cause asthma-like symptoms include:
The following are tests your child might need.
Lung function tests (spirometry). Doctors diagnose asthma with the same tests used to identify the disease in adults. Spirometry measures how much air your child can exhale and how quickly. Your child might have lung function tests at rest, after exercising and after taking asthma medication.
Another lung function test is brochoprovocation. Using spirometry, this test measures how your lungs react to certain provocations, such as exercise or exposure to cold air.
The asthma tests used, however, aren't accurate before 5 years of age. For younger children, your doctor will rely on information you and your child provide about symptoms. Sometimes a diagnosis can't be made until later, after months or even years of observing symptoms.
If your child seems to have asthma that's triggered by allergies, the doctor might recommend allergy skin testing. During a skin test, the skin is pricked with extracts of common allergy-causing substances, such as animal dander, mold or dust mites, and observed for signs of an allergic reaction.
Initial treatment depends on the severity of your child's asthma. The goal of asthma treatment is to keep symptoms under control, meaning that your child has:
Treating asthma involves both preventing symptoms and treating an asthma attack in progress. The right medication for your child depends on a number of things, including age, symptoms, asthma triggers and what seems to work best to keep his or her asthma under control.
For children younger than age 3 who have mild symptoms of asthma, the doctor might use a wait-and-see approach. This is because the long-term effects of asthma medication on infants and young children aren't clear.
However, if an infant or toddler has frequent or severe wheezing episodes, a medication might be prescribed to see if it improves symptoms. 
Preventive, long-term control medications reduce the inflammation in your child's airways that leads to symptoms. In most cases, these medications need to be taken daily.
Types of long-term control medications include:
Inhaled corticosteroids. These medications include fluticasone (Flovent Diskus, Flovent HFA), budesonide (Pulmicort Flexhaler), mometasone (Asmanex HFA), ciclesonide (Alvesco), beclomethasone (Qvar Redihaler) and others. Your child might need to use these medications for several days to weeks before getting the full benefit.
Long-term use of these medications has been associated with slightly slowed growth in children, but the effect is minor. In most cases, the benefits of good asthma control outweigh the risks of possible side effects.
Combination inhalers. These medications contain an inhaled corticosteroid plus a long-acting beta agonist (LABA). They include fluticasone and salmeterol (Advair Diskus, Advair HFA), budesonide and formoterol (Symbicort), fluticasone and vilanterol (Breo Ellipta), and mometasone and formoterol (Dulera).
In some situations, long-acting beta agonists have been linked to severe asthma attacks. For this reason, LABA medications should always be given to a child with an inhaler that also contains a corticosteroid. These combination inhalers should be used only for asthma that's not well-controlled by other medications.
Quick-relief medications quickly open swollen airways. Also called rescue medications, quick-relief medications are used as needed for rapid, short-term symptom relief during an asthma attack — or before exercise if your child's doctor recommends it.
Types of quick-relief medications include:
If your child's asthma is triggered or worsened by allergies, your child might benefit from allergy treatment, such as the following, as well:
Long-term asthma control medications such as inhaled corticosteroids are the cornerstone of asthma treatment. These medications keep asthma under control and make it less likely that your child will have an asthma attack.
If your child does have an asthma flare-up, a quick-relief (rescue) inhaler can ease symptoms right away. But if long-term control medications are working properly, your child shouldn't need to use a quick-relief inhaler very often.
Keep a record of how many puffs your child uses each week. If he or she frequently needs to use a quick-relief inhaler, take your child to see the doctor. You probably need to adjust the long-term control medication.
Inhaled short- and long-term control medications are used by inhaling a measured dose of medication.
Work with your child's doctor to create a written asthma action plan. This can be an important part of treatment, especially if your child has severe asthma. An asthma action plan can help you and your child:
Children who have enough coordination and understanding might use a hand-held device to measure how well they can breathe (peak flow meter). A written asthma action plan can help you and your child remember what to do when peak flow measurements reach a certain level.
The action plan might use peak flow measurements and symptoms to categorize your child's asthma into zones, such as the green zone, yellow zone and red zone. These zones correspond to well-controlled symptoms, somewhat-controlled symptoms and poorly controlled symptoms. This makes tracking your child's asthma easier.
Your child's symptoms and triggers are likely to change over time. You'll need to observe symptoms and work with the doctor to adjust medications as needed.
If your child's symptoms are completely controlled for a time, your child's doctor might recommend lowering doses or stopping asthma medications (step-down treatment). If your child's asthma isn't as well-controlled, the doctor might want to increase, change or add medications (step-up treatment).
 <a id=""phmaincontent_0_phleftchannel_0_SectionRepeater_phclinicaltrials_0_10_ctLink_10"" href=""https://www.mayo.edu/research/clinical-trials/search-results?studySiteStatusesGrouped=Open/Status Unknown&amp;pocId=CON-20157223"">Explore Mayo Clinic studies</a> testing new treatments, interventions and tests as a means to prevent, detect, treat or manage this disease. 
Taking steps to reduce your child's exposure to asthma triggers will lessen the possibility of asthma attacks. Steps to help avoid triggers vary depending on what triggers your child's asthma. Here are some things that may help:
 While some alternative remedies are used for asthma, in most cases more research is needed to see how well they work and to determine possible side effects. Alternative treatments to consider include:
Herbal remedies and supplements. A few herbal remedies have been tried for asthma, including black seed, fish oil and magnesium. However, further studies are needed to assess their benefit and safety.
Herbs and supplements can have side effects and can interact with other medications your child is taking. Talk to your child's doctor before trying any herbs or supplements.
It can be stressful to help your child manage asthma. Keep these tips in mind to make life as normal as possible:
Use a written asthma action plan. Work with your child's doctor to develop your child's action plan, and give a copy to all of your child's caregivers, such as child care providers, teachers, coaches and the parents of your child's friends.
Following a written plan can help you and your child identify symptoms early, providing important information on how to treat your child's asthma from day to day and how to deal with an asthma attack.
Be encouraging. Focus attention on what your child can do, not on limitations. Involve teachers, school nurses, coaches, relatives and friends in helping your child manage asthma.
Encourage normal play and activity. Don't limit your child's activities out of fear of an asthma attack — work with your child's doctor to control exercise-induced symptoms.
You're likely to start by taking your child to your family doctor or your child's pediatrician. However, when you call to set up an appointment, you may be referred to an allergist, lung doctor (pulmonologist) or other specialist. Here's some information to help you get ready for your child's appointment.
Make a list of:
For asthma or asthma-like symptoms, questions to ask your doctor include:
Don't hesitate to ask other questions.
The doctor is likely to ask questions, including:"
Sweet's syndrome,"Your dermatologist might be able to diagnose Sweet's syndrome simply by looking at the lesions. But you're likely to have certain tests to rule out conditions that have similar symptoms and to search for the underlying cause. These tests include:
Sweet's syndrome may go away without treatment. But medications can speed the process dramatically.
The most common medications used for Sweet's syndrome are corticosteroids, which come in a variety of forms, including:
Sometimes other medications are prescribed for Sweet's syndrome, usually for people who don't tolerate long-term corticosteroid use well. Some of the more commonly prescribed medication alternatives to corticosteroids are:
Your primary care doctor is likely to refer you to a dermatologist for diagnosis and treatment of Sweet's syndrome. Here's some information to help you get ready for your appointment.
Before your appointment, make a list of:
If you have symptoms of Sweet's syndrome, questions you may want to ask include:
Your doctor is likely to ask you a number of questions, such as:"
