Hospital_Name,Hospital_Location
"Dr. Hitesh Shah's ""Sexology, Stress Management & Counselling Clinic""",Kandivali West
CosmoDent Hi-Tech Dental Hospital,Powai
Dr Gayatri's Cosmetic Clinic,Mulund West
Patwardhan Homoeopathy Clinic,Dadar West
Punit Hospital,Borivali West
Prism Eye and Maternity Clinic,Andheri West
Dental Expertz Clinic,Mumbai Central
Pushpaa Hospital,Andheri West
Smilez Unlimited Dental Clinic,Juhu
Womens Hospital,Khar West
Dr.Sheth's Skin & Hair Clinic,Marine Lines
Jain Diagnostic Centre,Lower Parel
Dr's Mind Centre,Kandivali West
Mothers Care Clinic,Andheri West
Dental Square,Andheri East
Care 32 Family Dental Care Centre,Andheri East
La'mer Clinic,Dadar
Nandini Joshi's Homeopathic Clinic,Mulund West
Dental Solutions,Ghatkopar East
Divine Smiles Dental Care,Bandra West
AUM ENT Clinic,Andheri West
Dr Kiran Katkar's Dermis Skin Wellness Clinic Lase,Dadar West
Dr. Ajay Thaker's Smiles Royale Dental Clinic,Mulund West
Dr. Jonwal's Niramay Ayush Panchkarm Health Institute & Research Hospital,Kandivali West
"Parakh Hospital - Gynecology, Obstetrics & IVF",Ghatkopar East
Dr. Kinis  Nursing Home and Endocrine Centre,Mulund West
Medident - The Multispeciality Dental Clinic,Bandra West
Dr. Raja Urology & Andrology Centre,Bandra West
Care & Cure Maternity And Nursing Home,Powai
Purnam Health Centre,Malad West
Positive Vibrations,Andheri West
Smile Invent Dental Clinic,Bandra East
Tender Skin International,Malad West
Kaya Kalp International Sex & Health Clinics,Borivali West
Dazzle Dental Clinic,Bandra West
Dr. Nanda R Kumar's Gynecology Clinic.,Chembur East
Parth Surgical Centre,Andheri West
Evolve - The Mind Center,Worli
My Skin My Health,Andheri East
Forever Yooung Skin Hair Body Aesthetics Clinic,Bandra West
BK Kidney and GI Centre,Goregaon West
Believe - Health And Skin Clinic,Girgaon
Bombay Knee & Hip Clinic,Matunga
Hope Clinic,Tardeo
Roots Dental Clinic,Chembur
Tandon Eye Hospital,Andheri West
Anil Cancer Center,Mulund
Ruby Hospital - Venture Of Arogyam Hospital,Bhandup West
Mohan ENT Care,Borivali West
Ace Heart Clinic,Borivali West
Kent Homeopathy Clinic,Powai
Dr Siddharth's Plastic Surgery Clinic,Andheri West
Dr. Inamdar's Dental Studio,Kurla West
Bafna Polyclinic,Cumballa Hill
Mehta Eye Clinic,Ghatkopar East
Sahastram Ayurveda Panchkarma Center,Dadar East
Lifeforce Homeopathy Clinic,Chembur
RD Smita Nanda Nutrition Consultant,Kandivali East
Dr. Sana Bhamla Khan - KYSHHA Skin and Hair Clinic,Mumbai Central
Dr. Sanjay Bakhshi's Physioline Pain & Paralysis Centre,Andheri West
"Dr. Sonal Sanghavi's
 Homoeopathic Clinic",Borivali West
Orthopaedic Ophthalmic Physiotherapy Clinic,Bandra West
Wisdom Tooth Clinic,Andheri West
Aashraya Developmental Aid Centre,Bandra West
Dr. Mithiya's Clinic,Ghatkopar West
Dr. Adhye's Homeopathic Clinic,Chembur
Dr. Ila Tyagi's Gynecology and Fertility Clinic,Chembur East
Urology & Gynaecology Clinic,Borivali West
Sahu Eye Hospital,Malad West
Akanksha Maternity & Surgical Hospital,Andheri West
Shinde's Medicare Hospital,Andheri West
Mumbai Eye Care Cornea and Lasik Centre,Ghatkopar East
Healthwatch Nutrition Clinic,Andheri West
Dr Pathan'S Diabetes Specialties Clinic,Byculla
Dr.Priti's Dermat Clinic,Ghatkopar West
Tulip Gynecare Clinic,Andheri West
The Vission Eye Center,Juhu
32 Pearls Dental Clinic,Chembur East
Suchi Roy Clinic,Chembur
Magident Family Dental Care,Sakinaka
Shenmen Healing Center,Santacruz West
Dr. Yuvaraja S Shetty Child Health Center and Polyclinic,Mulund West
Sai Netra Advanced Eye Care,Andheri East
Dr Ajay Doiphode's Prime ENT Clinic,Andheri West
Derma Care,Opera House
Viva Cosmetic Clinic,Opera House
Hair Science,Andheri
Sanjeevani Kidney Care,Andheri East
Psychiatry and Sex Clinic,Andheri East
