Hospital_Name,Location,Doctor_Name,Doctor_Specialization,Doctor_Timings,Doctor_Fees,Doctor_Rating
HEAL Institute,Colaba,Dr. Soniya Choithani   (Physiotherapist),Physiotherapist,Mon-Sat08:00 AM-04:00 PM,800,5
Parakh Hospital,Ghatkopar,Dr. Arun Sheth,Plastic Surgeon,null,"1,000",4.5
Parchure Nursing Home,Dadar East,Dr. Sashikant Parchure,Gynecologist,Mon-Sat09:00 AM-11:00 AM,"1,000",5
Finesse,Goregaon East,Dr. Priyam Bhagat,Dermatologist,"Mon-Wed, Fri-Sun11:00 AM-02:00 PM, 06:00 PM-08:00 PM","1,200",5
Unlimited Potentialities,Borivali West,Ms. Suruchi Kothari,Clinical Psychologist,"Mon, Wed, Fri10:00 AM-08:00 PMSat05:00 PM-07:30 PMshow more","2,000",4.5
SRV Hospital,Goregaon West,Dr. Amit Bhat,Urologist,"Mon, Wed, Fri12:00 PM-01:00 PM","1,200",5
Identity Dental Lounge,Andheri East,Dr. Shruti Purohit,Oral And MaxilloFacial Surgeon,Mon-Sun10:00 AM-10:30 AM,100,5
Physio Wellness,Andheri East,Dr. Priyanka Sukthankar   (Physiotherapist),Physiotherapist,"Mon-Sat08:00 AM-12:30 PM, 04:30 PM-10:00 PMSun09:00 AM-02:00 PMshow more",500,5
SRV Hospital,Goregaon West,Dr. Rajendra Sonavane,General Surgeon,Sat03:00 PM-05:00 PM,"1,000",5
Sushrut Hospital and Research Center,Chembur East,Dr. Anil Potdar,Cardiologist,"Tue, Thu05:00 PM-06:00 PM","1,500",4
Dr Zeenats Skin Clinic,Andheri West,Dr. Zeenat Bhalwani,Dermatologist,Mon-Sat11:20 AM-04:00 PM,"1,000",5
Parakh Hospital,Ghatkopar,Dr. Narendra Dedhia,Nephrologist/Renal Specialist,"Mon-Fri09:00 AM-12:00 PM, 05:00 PM-07:00 PM","1,200",4.5
Dental Speciality Care,Chembur,Dr. Shilpa Shetty Naik,Pediatric Dentist,"Mon-Sat09:30 AM-01:00 PM, 04:30 PM-08:30 PM",300,5
Pooja Maternity Nursing Home & Ent Center,Ghatkopar West,Dr. Sadhna Shah,ENT/ Otorhinolaryngologist,Mon-Sat08:00 PM-09:00 PM,"1,000",5
Irla Nursing Home & Polyclinic,Vileparle West,Dr. Udayan palnitkar,Gynecologist,"Mon, Fri10:00 AM-12:00 PMWed10:00 AM-12:00 PM, 07:00 PM-09:00 PMshow more",800,5
Reflectionz Clinic,Kandivali East,Dr. Roshni Panchal,Homoeopath,Mon-Sat11:00 AM-06:00 PMSun10:00 AM-02:00 PMshow more,700,5
Skin N Sculpt,Andheri East,Dr. Parag Vibhakar,Plastic Surgeon,Mon-Sat07:30 PM-08:30 PM,"1,000",4.5
Aavishkar Centre For Self Enrichment,Dadar West,Dr. Nirmala Rao,Psychiatrist,Mon-Fri02:00 PM-08:00 PMSat01:00 PM-05:00 PMshow more,"1,200",5
Smile Again,Dadar East,Dr. Amit Chavan,Implantologist,Mon-Sat09:00 AM-08:00 PMSun10:00 AM-02:00 PMshow more,null,5
Dr. Khandeparkar's  Infertility and IVF Centre,Dadar East,Dr. Shubhada Sanjiv Khandeparkar,Infertility Specialist,"Mon-Fri11:00 AM-01:00 PM, 07:00 PM-09:30 PMSat11:00 AM-01:00 PMshow more","1,500",4.5
Dr. Gupte's Clinic,Kandivali East,Dr. Darshan S Gupte,Dentist,"Mon-Sat10:00 AM-01:00 PM, 06:30 PM-09:30 PM",200,5
Gurukrupa Advanced Dental Care Center,Malad West,Dr. Shivangi Isawe,Dentist,Mon-Sat11:00 AM-08:00 PM,300,5
I Sight Eyecare And Surgery,Khar West,Dr. Kruti Modi,Ophthalmologist/ Eye Surgeon,Mon-Sat09:00 AM-09:30 PM,"1,000",5
Fortis Hospital,Mulund West,Dr. Kaushal Pandey,Cardiothoracic and Vascular Surgeon,null,"1,500",4
Dr. Nishant's Dental Surgeons Planet,Powai,Dr. Rashmi Maruti Hosalkar,Dentist,,500,5
Eye Solutions - The complete eye hospital,Tardeo,Dr. Chinmay Nakhwa,Ophthalmologist/ Eye Surgeon,null,"1,500",5
Apollo Spectra Hospitals,Tardeo,Dr. Hari Chablani,General Physician,Mon-Sat10:00 AM-11:00 AM,"1,500",4
Dr ABR Desai ENT Clinic,Charni Road,Dr. Ashim Desai,ENT/ Otorhinolaryngologist,Mon-Fri04:00 PM-07:00 PM,"1,800",3.5
Clear Vision Eye Clinic,Wadala,Dr. Bhavesh Gohil,Ophthalmologist/ Eye Surgeon,Mon-Sat05:00 PM-09:00 PM,800,5
Goradia Ayurvedic Clinic.,Grant Road,Dr. Ruchira N Goradia,Ayurveda,Mon-Fri09:30 AM-11:30 AM,"1,500",5
Dr. Vora's Dental Care,Mulund West,Dr. Sherin Tresa,Dentist,Mon-Sun08:30 AM-05:00 PM,300,5
Krishna Eye Centre,Parel,Dr. Gul J. Nankani,Ophthalmologist/ Eye Surgeon,Mon-Sat05:00 PM-07:00 PM,"1,200",5
Om Shanti Clinic,Jogeshwari East,Dr. Deepakk Desai,Alternative Medicine,"Mon-Fri12:15 PM-02:15 PM, 08:15 PM-11:00 PMSat12:15 PM-02:15 PM, 08:00 PM-11:00 PMshow more",300,5
Dr Muffi's Digestive Health Institute,Worli,Dr. Muffazal Lakdawala,Bariatric Surgeon,Mon-Sat03:00 PM-08:00 PM,"5,000",4.5
Exercise Clinic,Andheri West,Dr. Shwetali Satish Pawar   (Physiotherapist),Physiotherapist,"Mon-Sat10:00 AM-01:00 PM, 06:30 PM-09:00 PM",800,5
Jupiter Hospital Speciality Clinic,Mulund West,Dr. Parijat Gupte,Gastroenterologist,Mon-Sat05:00 PM-07:00 PM,"1,000",4.5
S L Raheja Fortis Hospital,Mahim,Dr. Ankur Phatarpekar,Interventional Cardiologist,"Mon, Wed05:00 PM-06:00 PM","1,300",4
Jupiter Hospital Speciality Clinic,Mulund West,Dr. Dimple Jain,Pediatrician,"Tue, Thu03:00 PM-04:00 PM","1,200",4.5
Utture Urology Clinic,Mahim,Dr. Anand Utture,Urologist,"Mon-Fri01:00 PM-02:00 PM, 07:30 PM-09:00 PMSat01:00 PM-02:00 PMshow more","1,500",4
HPE India - Advance Physiotherapy Studio,Bandra West,Dr. Swapnil Mate   (Physiotherapist),Physiotherapist,Mon-Sun10:00 AM-10:00 PM,"1,500",5
Smile n Shine Advanced Dental Clinic,Kandivali West,Dr. Nikita Virdiya,Dentist,"Wed, Fri, Sun10:00 AM-02:00 PM, 05:00 PM-07:00 PM",100,5
Dr. Shruti's Dental Clinic,Goregaon West,Dr. Shruti Parkar,Dentist,"Mon-Fri09:30 AM-01:00 PM, 05:30 PM-09:00 PMSat09:30 AM-02:30 PMshow more",300,5
Aditi Hospital,Mulund West,Dr. Vikas Jain,Spine Surgeon,Mon-Sat04:00 PM-06:00 PM,800,4.5
Ambrosia Aesthetics,Andheri West,Dr. Niketa Sonavane,Dermatologist,"Mon-Sat10:30 AM-01:00 PM, 03:00 PM-07:00 PM","1,500",4.5
RheumDerma Clinic,Prabhadevi,Dr. Rashmi Shinde,Dermatologist,"Tue, Thu, Sat05:00 PM-08:00 PM","1,000",5
The Skin Clinic,Goregaon East,Dr. Ujjvala Jadhav,Dermatologist,"Mon-Sat10:00 AM-01:00 PM, 06:00 PM-09:00 PM",600,4.5
Vivanta Hospital,Malad West,Dr. Trupti Agarwal,Dermatologist,null,700,4.5
SRV Hospital,Goregaon West,Dr. Nikhil Dharmadhikari,Surgical Oncologist,null,"1,000",5
Ayushakti Ayurved  Health Centre,Vileparle,Dr. Deepali Shastri,Ayurveda,Thu11:00 AM-02:00 PMSat05:00 PM-09:00 PMshow more,300,null
Harleys Cosmetic & Women Clinic,Andheri West,Dr. Sumit Agrawal,Hair Transplant Surgeon,Mon-Sat02:00 PM-07:15 PM,"1,000",5
Apollo Spectra Hospitals,Tardeo,Dr. Viraj Tambwekare,Plastic Surgeon,null,"1,000",4
Aharayogam,Mulund West,Dr. Anita Gupta,Ayurveda,"Mon, Wed, Fri10:00 AM-07:40 PMSat09:20 AM-02:40 PMSun10:00 AM-05:00 PMshow more","2,000",5
KRS Derma Care,Kandivali West,Dr. Rashmikant Shah,Dermatologist,"Mon09:30 AM-02:30 PM, 07:30 PM-09:00 PMTue, Thu09:30 AM-03:00 PM, 07:30 PM-09:00 PMWed07:30 PM-09:00 PMFri09:30 AM-03:00 PM, 06:30 PM-09:00 PMSat11:30 AM-04:00 PM, 07:30 PM-09:00 PMshow more",800,3.5
Desai Orthopedics and ENT Clinic,Borivali West,Dr. Hardik Desai,Joint Replacement Surgeon,Mon-Sat07:00 PM-09:00 PM,600,5
The Bombay Skin Clinic,Girgaon,Dr. Batul Patel,Dermatologist,"Mon-Tue, Thu, Sat11:00 AM-08:30 PMWed11:00 AM-07:00 PMshow more","1,500",4.5
Stride Fitness and Mobility Clinic,Vileparle East,Dr. Pallavi Singh   (Physiotherapist),Physiotherapist,Mon-Fri10:30 AM-07:00 PMSat10:30 AM-04:00 PMshow more,"1,200",5
The Childrens Hospital Mumbai,Malad West,Dr. Chasanal Rathod,Orthopedist,null,"1,200",4
Wockhardt Hospitals,Mira Road,Dr. Dipanjan Haldar,Hematologist,"Mon-Fri10:00 AM-01:00 PM, 02:00 PM-05:00 PMSat02:00 PM-05:00 PMshow more",600,4
The Dental Hub,Goregaon West,Dr. Ripal K Kotak,Dentist,Mon-Sun11:00 AM-08:00 PM,500,null
Dr. Naazneen's Psychiatric Centre,Andheri West,Dr. Naazneen Ladak,Psychiatrist,"Mon-Sat01:30 PM-06:45 PM, 07:00 PM-08:00 PM","1,500",4.5
Dr Sheth's Skin And Hair Clinic,Juhu,Dr. Rekha Sheth,Dermatologist,null,"3,000",5
I Sight Eyecare And Surgery,Khar West,Dr. Kareeshma Wadia,Ophthalmologist/ Eye Surgeon,null,"1,000",5
PhysioWorld,Chembur,Dr. Tanvi Jha,Dentist,null,500,5
Speciality Dental Centre & Dental Implants,Dahisar East,Dr. Amruta Bhalchandra Wadekar,Implantologist,"Mon-Sat10:00 AM-01:00 PM, 05:30 PM-09:00 PM",300,5
Navkar Dental Care And Implant Centre & Navkar Physiotherapy Centre,Andheri West,Dr. Bhumita Shah,Orthodontist,null,200,5
Homoeopathic Clinic,Bhandup West,Dr. Amit Vora,Homoeopath,"Mon-Fri10:00 AM-02:00 PM, 05:00 PM-09:00 PMSat05:00 PM-09:00 PMshow more","1,000",5
Shishu Child Care Clinic,Andheri East,Dr. Vipul Mehrotra,Pediatrician,"Mon-Fri10:00 AM-12:30 PM, 06:45 PM-09:15 PMSat10:00 AM-01:30 PMshow more","1,000",5
Shah Superspeciality Clinic,Gamdevi,Dr. Hardik Shah,Gastroenterologist,Mon-Sat03:00 PM-08:00 PM,"2,000",5
Dr Ramona's Dental Clinic,Powai,Dr. Ramona S Thakur,Endodontist,"Mon11:00 AM-03:00 PMTue01:00 PM-03:00 PM, 06:30 PM-08:30 PMWed11:20 AM-03:00 PM, 06:30 PM-08:30 PMThu01:00 PM-03:00 PM, 07:05 PM-08:30 PMFri11:00 AM-03:00 PM, 06:30 PM-08:30 PMSat01:00 PM-05:00 PMshow more",400,5
Identity Dental Lounge,Andheri East,Dr. Manish Purohit,Oral And MaxilloFacial Surgeon,Mon-Sat10:30 AM-09:00 PMSun10:30 AM-02:30 PMshow more,200,5
Dr. Nair's Dental and Orthodontic Care,Andheri West,Dr. Bhumija Gautam Nair,Dentist,Mon-Sat10:00 AM-09:00 PM,500,5
Dr. Lulla's Homeopathy Clinic,Chembur East,Dr. Prakash L. Lulla,Homoeopath,"Mon-Sat10:00 AM-02:00 PM, 06:00 PM-09:30 PM","1,000",5
Dr. Goel's Clinic,Dadar,Dr. Gautam Goel,General Surgeon,"Mon-Fri05:00 PM-08:00 PMSat10:00 AM-11:00 AM, 01:00 PM-02:00 PMshow more","1,200",5
Shah Superspeciality Clinic,Gamdevi,Dr. Amiti Shah,Plastic Surgeon,Mon-Sat04:00 PM-06:00 PM,"1,500",5
Surana Sethia Hospital and Research Center,Chembur,Dr. Prajyot Jagtap,Orthopedist,"Mon, Wed, Fri07:00 PM-09:00 PM","1,000",4.5
Dr. Deep Parekh's 'Mom & Me' Clinic,Ghatkopar East,Dr. Deep B. Parekh,Pediatrician,"Mon-Sat10:00 AM-02:30 PM, 05:00 PM-09:00 PM",800,5
Arohi Eye Hospital,Andheri West,Dr. Pooja Ghodke,Ophthalmologist/ Eye Surgeon,"Tue, Thu, Sat05:00 PM-07:00 PM",600,5
Oma Hospital,Chembur,Dr. Manmohan Madan,Radiologist,Mon-Fri07:00 PM-09:00 PM,"4,000",4
Wockhardt Hospitals,Mira Road,Dr. Mrudul vishanji dharod,Gastroenterologist,"Mon-Fri11:00 AM-01:00 PM, 03:00 PM-05:00 PM",900,4
Wockhardt Hospitals,Mira Road,Dr. Jinendra K Jain,Consultant Physician,Mon-Sat11:00 AM-04:30 PM,800,4
Ayushi Skin Clinic,Andheri West,Dr. Rashmi Mittal,Dermatologist,"Mon, Wed-Thu10:00 AM-01:00 PM, 04:00 PM-06:00 PMTue, Fri10:00 AM-01:00 PMSat10:00 AM-02:00 PMshow more","1,000",5
Clinico Diagnostic India Pvt Ltd,Mulund West,Ms. Urvi Vakharia,Dietitian/Nutritionist,Mon-Sun10:00 AM-01:30 PM,null,5
Asthma Allergy Clinic - Siddhi Polyclinic,Andheri West,Dr. Shilpa Nayak,Allergist/Immunologist,"Mon-Sat12:00 PM-02:00 PM, 06:00 PM-08:00 PM","1,000",5
Oyster Hospital,Goregaon West,Dr. Savita S. Naik,Pediatrician,Mon-Sat10:00 AM-09:30 PM,"1,000",null
Vandita's Dental Care,Goregaon East,Dr. Vandita Agrawal,Dentist,Mon-Fri10:00 AM-09:00 PMSat10:00 AM-07:00 PMSun10:00 AM-01:30 PMshow more,300,4.5
Neha Ranglani Clinic,Bandra West,Ms. Neha Ranglani,Dietitian/Nutritionist,"Mon, Wed, Fri04:30 PM-07:00 PMTue, Thu11:00 AM-01:30 PMSat11:00 AM-01:30 PM, 04:30 PM-07:00 PMshow more","2,000",4.5
The Childrens Hospital Mumbai,Malad West,Dr. Parag Bhalgat,Pediatric Cardiologist,null,"2,200",4
S L Raheja Fortis Hospital,Mahim,Dr. Haresh Mehta,Cardiologist,Mon-Sat09:00 AM-09:30 AM,"2,300",4
Anjum's Diet & Wellness,Andheri West,Ms. Sayli Anavkar,Counselling Psychologist,Fri07:00 PM-09:00 PMSat11:00 AM-01:00 PMshow more,900,5
Vivanta Hospital,Malad West,Ms. Priti Khatu,Psychologist,Sat02:00 PM-04:00 PM,800,4.5
Vivanta Hospital,Malad West,Dr. Anil Saxena,Radiologist,Mon-Sat09:30 AM-10:30 PM,"1,400",4.5
Oyster Hospital,Goregaon West,Dr. Sudhir Naik,Gynecologist,"Mon, Wed10:00 AM-12:00 PMTue, Thu, Sat06:00 PM-08:00 PMshow more","1,000",null
Unique Smile Concepts,Tilak Nagar,Dr. Keyur Mehta,Dentofacial Orthopedist,null,400,5
Dr. Goel's Clinic,Dadar,Dr. Monica Goel,General Physician,"Mon-Wed, Fri11:30 AM-02:00 PMThu11:00 AM-01:00 PMSat02:00 PM-04:00 PMshow more","1,200",5
Skin Matra,Mahim,Dr. Amit Bhalotia,Plastic Reconstruction Surgeon,null,"2,500",5
Global Hospitals,Parel,Dr. Akshay Shah,Medical Oncologist,Mon-Sat01:00 PM-03:00 PM,"1,750",4
The Dental Studio,Goregaon East,Dr. Khushee Agrawal,Dentist,"Mon-Sat09:00 AM-01:00 PM, 05:00 PM-09:00 PM",300,5
Smile Essentials,Bandra West,Dr. Diksha Tahilramani Batra,Prosthodontist,Mon-Sat10:00 AM-08:00 PM,"1,000",5
Dr Gala's Vital Healing Homoeopathic Clinic,Andheri West,Dr. Satish Gala,Homoeopath,Mon-Sat06:30 PM-09:15 PM,"1,500",5
Dr. Sana Bhamla Khan's - KYSHHA Skin & Hair Clinic,Andheri West,Dr. Sana Bhamla Khan,Dermatologist,"Tue, Sat04:00 PM-08:00 PM","1,000",4.5
Pooja Maternity Nursing Home & Ent Center,Ghatkopar West,Dr. Rajesh Thakkar,Ayurveda,Mon-Sat04:00 PM-08:00 PM,300,5
My Smile Dental Clinic,Andheri West,Dr. Prasad Rane,Dentist,"Mon-Sat10:00 AM-01:00 PM, 02:00 PM-08:00 PM",600,5
Total Health Care,Borivali West,Dr. Jagat Shah,Homoeopath,Mon-Sat09:00 AM-09:00 PMSun10:00 AM-01:00 PMshow more,800,4.5
Saraogi Hospital & IRIS IVF Centre,Malad West,Dr. Rajendra Saraogi,Gynecologist,Mon02:00 PM-05:00 PMTue-Sat11:00 AM-05:00 PMshow more,"1,000",4.5
RheumDerma Clinic,Prabhadevi,Dr. Priyanka Thukral Mahajan,Psychiatrist,"Mon, Sat02:30 PM-04:30 PMWed06:00 PM-08:00 PMshow more","1,500",5
Bright 32 Dental Care & Orthodontic Centre,Kandivali East,Dr. Sujata Surana,Dentist,"Mon-Sat10:00 AM-01:30 PM, 05:30 PM-09:30 PM",300,5
Mulekar Vitilgo Clinic,Andheri West,Dr. Sanjeev V. Mulekar,Dermatologist,"Mon-Sat09:00 AM-01:00 PM, 02:00 PM-06:00 PM","3,500",5
Chaitanya Mindcare Centre,Andheri West,Dr. Paresh C. Trivedi,Psychiatrist,Mon-Sat05:30 PM-09:30 PM,"1,200",5
Apollo Spectra Hospitals,Tardeo,Dr. Reshma Palep,Breast Surgeon,"Tue, Fri11:00 AM-02:00 PM","1,000",4
Wockhardt Hospitals,Mira Road,Dr. Nilesh Nolkha,Rheumatologist,"Mon-Sat11:00 AM-01:00 PM, 02:00 PM-05:00 PM",900,4
Ageless Medica Health Management Pvt. Ltd.,Powai,Dr. Sadhna Shah,ENT/ Otorhinolaryngologist,"Mon, Wed, Fri05:00 PM-06:00 PM","1,000",4.5
Saraogi Hospital & IRIS IVF Centre,Malad West,Dr. Roopa Prasad,Obstetrician,"Mon-Tue, Thu-Fri10:00 AM-01:00 PM",700,4.5
Asian Heart Institute And Research Centre,Bandra East,Dr. Santosh Kumar Dora,Internal Medicine,"Mon-Wed, Fri-Sat10:00 AM-06:00 PM","2,350",4
S L Raheja Fortis Hospital,Mahim,Dr. Snehal Kothari,Cardiologist,"Wed, Sat12:00 PM-01:00 PM","1,800",4
Dr. Nishant's Dental Surgeons Planet,Powai,Dr. Hemali Virani Kotadia,Dentist,"Mon-Fri11:00 AM-01:00 PM, 06:00 PM-08:00 PM",500,5
Fortis Hospital,Mulund West,Dr. Swati Garekar,Cardiologist,"Mon-Tue, Thu, Sat09:00 AM-05:30 PM","1,000",4
Dr L H Hiranandani Hospital,Powai,Dr. Ashish Vijay Bakshi,Medical Oncologist,Fri10:00 AM-12:00 PM,"1,000",3.5
Aditi Hospital,Mulund West,Dr. Kapil Mohan,Spine Surgeon,"Tue, Thu07:00 PM-10:00 PMSat05:00 PM-07:00 PMshow more","1,000",4.5
Dent Heal,Bandra West,Dr. Viraj Kakade,Prosthodontist,Mon-Wed04:00 PM-09:00 PMThu-Sat10:30 AM-03:30 PMSun02:30 PM-05:30 PMshow more,500,5
Dr. Vora's Dental Care,Mulund West,Dr. Darshan Hiralal Vora,Dentist,"Mon, Thu09:30 AM-01:00 PM, 01:30 PM-06:00 PMTue, Fri10:00 AM-01:00 PM, 01:30 PM-08:30 PMWed, Sat09:30 AM-01:00 PM, 01:30 PM-03:30 PMshow more",300,5
Winning Smiles Dental Clinic,Kandivali East,Dr. Shilpa Mittal,Cosmetic/Aesthetic Dentist,"Mon, Wed, Fri03:00 PM-09:40 PMTue, Thu, Sat09:40 AM-03:00 PMshow more",300,5
Aaditya Care,Mulund East,Dr. Abhijit  Jadhav,Diabetologist,"Mon-Sat12:00 PM-03:00 PM, 07:00 PM-10:00 PM","1,000",5
SRV Hospital,Goregaon West,Dr. Ajit Krishna Shetty,General Physician,"Mon-Tue, Thu-Sat10:30 AM-11:30 AM",700,5
SRV Hospital,Goregaon West,Dr. Sameeksha Dubey,Medical Oncologist,Mon-Sat04:30 PM-06:30 PM,"2,000",5
Apollo Spectra Hospitals,Chembur,Dr. Aditi Singhi,Gynecologist,Sat02:00 PM-06:00 PM,"1,000",4.5
S L Raheja Fortis Hospital,Mahim,Dr. Nilesh Gautam,Cardiologist,Mon-Fri10:00 AM-01:00 PM,"1,300",4
"Dr. Hitesh Shah's ""Sexology, Stress Management & Counselling Clinic""",Kandivali West,Dr. Hitesh Shah,Sexologist,Mon-Sun09:00 AM-09:00 PM,"1,500",5
S L Raheja Fortis Hospital,Mahim,Dr. Aniruddh Trivedi,Cardiac Surgeon,null,"1,250",4
HEAL Institute,Colaba,Dr. Farhana Shah   (Physiotherapist),Physiotherapist,Mon-Sat08:00 AM-04:00 PM,800,5
I Sight Eyecare And Surgery,Khar West,Dr. Swapnesh  Sawant,Ophthalmologist/ Eye Surgeon,Mon-Sat09:00 PM-09:30 PM,"1,000",5
CosmoDent Hi-Tech Dental Hospital,Powai,Dr. Jyoti Narla,Periodontist,"Mon-Sat10:00 AM-02:00 PM, 05:00 PM-09:00 PMSun10:00 AM-02:00 PMshow more",500,5
Dr Gayatri's Cosmetic Clinic,Mulund West,Dr. Gayatri Bharadwaj,Dermatologist,"Mon, Wed, Fri11:00 AM-02:00 PM, 05:00 PM-09:00 PMTue, Thu, Sat11:00 AM-02:00 PMshow more",800,4.5
Parchure Nursing Home,Dadar East,Dr. Shilpa Abhyankar,Gynecologist,"Mon-Tue, Thu-Fri05:30 PM-07:00 PMSat06:30 PM-07:30 PMshow more",800,5
Dr. Vora's Dental Care,Mulund West,Dr. Rituja Punde,Dentist,Mon-Sun04:00 PM-08:00 PM,300,5
Physio Wellness,Andheri East,Ms. Prachi Managute,null,"Mon-Sat08:00 AM-11:00 AM, 05:00 PM-08:00 PM","1,500",5
Patwardhan Homoeopathy Clinic,Dadar West,Dr. Anagha Patwardhan,Homoeopath,Thu10:00 AM-01:00 PM,800,5
Punit Hospital,Borivali West,Dr. Kunal Patel,Orthopedist,"Mon-Sat09:00 AM-11:00 AM, 06:00 PM-08:00 PM",700,5
Asian Heart Institute And Research Centre,Bandra East,Dr. Tilak Suvarna,Cardiologist,Mon-Sat10:00 AM-06:00 PM,"2,350",4
Prism Eye and Maternity Clinic,Andheri West,Dr. Divya Sharma   (Physiotherapist),Physiotherapist,Mon-Sat10:00 AM-01:30 PM,"1,000",5
