Disease_Name,Drug_Name,General_Information,Side_Effects,Additional_Information,Mechanism_of_Action
Dravet Syndrome,Epidiolex (cannabidiol),"General Information
Epidiolex (cannabidiol) is a pharmaceutical formulation of highly-purified, plant-derived cannabidiol.
Epidiolex is specifically indicated for the treatment of seizures associated with Lennox Gastaut syndrome (LGS) or Dravet syndrome (DS) in patients 2 years of age and older.
Epidiolex is supplied as an oral solution. The recommended starting dosage is 2.5 mg/kg twice daily (5 mg/kg/day). After one week, the dosage can be increased to a maintenance dosage of 5 mg/kg twice daily (10 mg/kg/day). Patients who are tolerating Epidiolex at 5 mg/kg twice daily and require further reduction of seizures may benefit from a dosage increase up to a maximum recommended maintenance dosage of 10 mg/kg twice daily (20 mg/kg/day), in weekly increments of 2.5 mg/kg twice daily (5 mg/kg/day), as tolerated. For patients in whom a more rapid titration from 10 mg/kg/day to 20 mg/kg/day is warranted, the dosage may be increased no more frequently than every other day. Administration of the 20 mg/kg/day dosage resulted in somewhat greater reductions in seizure rates than the recommended maintenance dosage of 10 mg/kg/day, but with an increase in adverse reactions.
Clinical Results
FDA Approval
Lennoxâ€“Gastaut Syndrome: The FDA approval of Epidiolex for the treatment of seizures associated with LGS was established in two randomized, double-blind, placebo-controlled trials in patients aged 2 to 55 years. Study 1 (N=171) compared a dose of Epidiolex 20 mg/kg/day with placebo. Study 2 (N=225) compared a 10 mg/kg/day dose and a 20 mg/kg/day dose of Epidiolex with placebo. In both studies, patients had a diagnosis of LGS and were inadequately controlled on at least one AED, with or without vagal nerve stimulation and/or ketogenic diet. Both trials had a 4-week baseline period, during which patients were required to have a minimum of 8 drop seizures (â‰¥2 drop seizures per week). The baseline period was followed by a 2-week titration period and a 12-week maintenance period. The primary efficacy measure in both studies was the percent change from baseline in the frequency (per 28 days) of drop seizures (atonic, tonic, or tonic clonic seizures) over the 14-week treatment period. The primary efficacy measure in both studies was the percent change from baseline in the frequency (per 28 days) of drop seizures (atonic, tonic, or tonic clonic seizures) over the 14-week treatment period. In Studies 1 and 2, the median percent change from baseline (reduction) in the frequency of drop seizures was significantly greater for both dosage groups of Epidiolex than for placebo. A reduction in drop seizures was observed within 4 weeks of initiating treatment with Epidiolex, and the effect remained generally consistent over the 14-week treatment period.
Dravat Syndrome: The effectiveness of Epidiolex for the treatment of seizures associated with DS was demonstrated in a single randomized, double-blind, placebo-controlled trial in 120 patients aged 2 to 18 years. The study compared a dose of Epidiolex 20 mg/kg/day with placebo. Patients had a diagnosis of treatment-resistant DS and were inadequately controlled with at least one concomitant AED, with or without vagal nerve stimulation or ketogenic diet. During the 4-week baseline period, patients were required to have at least 4 convulsive seizures while on stable AED therapy. The baseline period was followed by a 2-week titration period and a 12-week maintenance period. The primary efficacy measure was the percent change from baseline in the frequency (per 28 days) of convulsive seizures (all countable atonic, tonic, clonic, and tonic-clonic seizures) over the 14-week treatment period. The median percent change from baseline (reduction) in the frequency of convulsive seizures was significantly greater for Epidiolex 20 mg/kg/day than for placebo. A reduction in convulsive seizures was observed within 4 weeks of initiating treatment with Epidiolex and the effect remained generally consistent over the 14-week treatment period.
","Side Effects
Adverse effects associated with the use of Epidiolex may include, but are not limited to, the following:
somnolence
decreased appetite
diarrhea
transaminase elevations
fatigue
malaise and asthenia
rash
insomnia
sleep disorder and poor quality sleep
infections.
","Additional Information
For additional information regarding Epidiolex or seizures associated with Lennox-Gastaut syndrome or Dravet syndrome, please visit https://www.epidiolex.com/","Mechanism of Action
Epidiolex (cannabidiol) is a pharmaceutical formulation of highly-purified, plant-derived cannabidiol. The precise mechanisms by which Epidiolex exerts its anticonvulsant effect in humans are unknown. Cannabidiol does not appear to exert its anticonvulsant effects through interaction with cannabinoid receptors.
"
Dry Eye Disease,Xiidra (lifitegrast),"General Information
Xiidra (lifitegrast) is an orally active dual leukocyte function-associated antigen-1 (LFA-1)/intracellular adhesion molecule-1(ICAM-1) inhibitor. LFA-1 antagonists mediate both migration and adhesion of the white blood cells to sites of inflammation.
Xiidra is specifically indicated for the treatment of the signs and symptoms of dry eye disease.
Xiidra is supplied as an ophthalmic solution for topical ophthalmic use. The recommended dose is one drop twice daily in each eye (approximately 12 hours apart).
Clinical Results
FDA Approval
The FDA approval of Xiidra was based on four 12-week, randomized, multi-center, double-masked, vehicle-controlled studies in a total of 1,181 patients. Patients were randomized to Xiidra or vehicle (placebo) in a 1:1 ratio and dosed twice a day. Use of artificial tears was not allowed during the studies. Eye dryness Score (EDS) was rated by patients using a visual analogue scale (VAS) (0 = no discomfort, 100 = maximal discomfort) at each study visit. Assessment of signs was based on inferior corneal staining score (ICSS; 0-4 scale). In all four studies, a larger reduction in EDS was observed with Xiidra at six and 12 weeks. In two of the four studies, an improvement in EDS was seen with Xiidra at two weeks. At week 12, a larger reduction in ICSS favoring Xiidra was observed in three of the four studies.
","Side Effects
Adverse effects associated with the use of Xiidra may include, but are not limited to, the following:
instillation site irritation
dysgeusia
decreased visual acuity
","Additional Information
For additional information regarding Xiidra or dry eye disease, please visit https://www.xiidra.com/","Mechanism of Action
Xiidra (lifitegrast) is an orally active dual leukocyte function-associated antigen-1 (LFA-1)/intracellular adhesion molecule-1(ICAM-1) inhibitor. LFA-1 is a cell surface protein found on leukocytes and blocks the interaction of LFA-1 with its cognate ligand intercellular adhesion molecule-1 (ICAM-1). ICAM-1 may be overexpressed in corneal and conjunctival tissues in dry eye disease. LFA-1/ICAM-1 interaction can contribute to the formation of an immunological synapse resulting in T-cell activation and migration to target tissues.
"
Duodenal Ulcers,Prevpac,"General Information
The FDA approved a compliance pack containing Prevacid (lansoprazole) delayed-release capsules, clarithromycin tablets, and amoxicillin capsules for eradication of Helicobacter pylori in patients with duodenal ulcers.",,,
Duodenal Ulcers,Prilosec (omeprazole)/Biaxin (clarithromycin) Combination Therapy,"General Information
Prilosec in combination with Biaxin has been approved for the treatment of subjects with H. pylori infection and duodenal ulcer to eradicate H. pylori, the bacteria now believed to cause approximately 90% of peptic ulcers. H. pylori eradication has been shown to reduce the risk of duodenal ulcer recurrence. Prilosec is marketed by Astra Merck and Biaxin is marketed by Abbott Laboratories.
The recommended dosage for eradicating H. pylori is Prilosec 40 mg once daily and Biaxin 500 mg three times daily for the first 14 days, followed by Prilosec 20 mg once daily for days 15 to 28.
Clinical Results
In clinical trials, the combination of Prilosec and Biaxin had H. pylori eradication rates of up to 83%. Among subjects in whom H. pylori has been eradicated, ulcer recurrence rates have been as low as five percent six months after therapy.
","Side Effects
The Prilosec-Biaxin regimen has been generally well tolerated: side effects, which are usually mild and transient included taste perversion, nausea, and headache.
","Additional Information
Peptic ulcers affect approximately five million Americans each year. It is estimated that 10% of the population will develop an ulcer during their lifetime. In the past, ulcers were believed to be caused by lifestyle factors such as stress and diet. Later, researchers discovered that an imbalance between digestive fluids and the stomach's ability to defend itself against these powerful substances resulted in ulcers.
However, researchers now know that the H. pylori bacteria (along with acid secretion) damages stomach and duodenal tissue, causing inflammation and ulcers in 90% of ulcer subjects. Treatment with Prilosec and Biaxin is considered a dramatic medical advance because elimination of H. pylori means that the ulcer will not only heal but also will not likely return.
H. pylori is a spiral-shaped bacterium found in the stomach. Like most germs, H. pylori bacteria is thought to be transmitted from person-to-person contact. Experts believe the activity of the bacteria damages and weakens the barrier that protects the stomach and duodenum, eventually causing the ulcer. In some people, the infection persists lifelong. Infection with H. pylori has also been linked to a number of other gastrointestinal diseases, including stomach cancer.
An ulcer is a sore or lesion that forms in the lining of the stomach or duodenum where acid and pepsin are present. Symptoms of ulcers include a gnawing or burning pain in the upper abdomen (often occurring between meals and early in the morning), and, sometimes, nausea, vomiting, loss of appetite and weight. Although ulcers can develop at any age, they are most prevalent in people over the age of 30.
Prilosec is currently indicated as first-line therapy for erosive esophagitis, for the maintenance of healed erosive esophagitis, for symptomatic gastroesophageal reflux disease (GERD) that is poorly responsive to customary medical treatment, and for short-term treatment of active duodenal ulcer and active benign gastric ulcer. It is also indicated for the treatment of certain pathological hypersecretory conditions. Biaxin is indicated for the treatment of mild-to-moderate infections, including upper-respiratory tract infections, lower-respiratory tract infections, and uncomplicated skin and skin-structure infections.",
Dupuytren's Disease,Xiaflex (collagenase clostridium histolyticum),"General Information
Xiaflex contains purified collagenase clostridium histolyticum. When injected directly into a Dupuytrenâ€™s cord, it enzymatically disrupts collagen. As a result of collagen disruption, contracture may be reduced and range of motion may be improved.
Xiaflex is specifically indicated for the treatment of adult patients with Dupuytrenâ€™s contracture with a palpable cord.
Xiaflex is supplied as a lyophilized powder for reconstitution with the provided diluent. It is injected directly into the Dupuytrenâ€™s cord. The recommended initial dose is 0.58 mg per injection into a palpable cord with a contracture of a metacarpophalangeal (MP) joint or a proximal interphalangeal (PIP) joint. Approximately 24 hours after injection, a finger extension procedure should be performed if a contracture persists to facilitate cord disruption. Four weeks after the Xiaflex injection and finger extension procedure, if a MP or PIP contracture remains, the cord may be re-injected with a single dose of 0.58 mg of Xiaflex and the finger extension procedure may be repeated (approximately 24 hours after injection). Injections and finger extension procedures may be administered up to 3 times per cord at approximately 4-week intervals.
Clinical Results
FDA Approval
The FDA approval of Xiaflex was based on two randomized, double-blind, placebo-controlled, multi-centered trials in 374 adults with Dupuytrenâ€™s contracture (Studies 1 and 2). The cord affecting the selected primary joint received up to 3 injections of 0.58 mg of Xiaflex or placebo on Days 0, 30, and 60. About 24 hours after each injection of study medication, if needed, the investigator manipulated (extended) the treated finger in an attempt to facilitate rupture of the cord (finger extension procedure). Following manipulation, patients were fitted with a splint, instructed to wear the splint at bedtime for up to 4 months, and instructed to perform a series of finger flexion and extension exercises each day. The primary endpoint was to evaluate the proportion of patients who achieved a reduction in contracture of the selected primary joint (MP or PIP) to within 0Â° to 5Â° of normal, 30 days after the last injection of that joint on Days 30, 60, or 90 (after up to 3 injections). A greater proportion of Xiaflex-treated patients compared to placebo-treated patients achieved the primary endpoint. Following the first injection, the proportion of patients who achieved a contracture reduction of the primary joint to 0Â° to 5Â° was 39% and 1% in Study 1 and 27% and 5% in Study 2 in the Xiaflex and placebo groups respectively. Following up to three injections, the percentage of patients who achieved reduction in contracture of all joints (MP and PIP) to 0Â° to 5Â° was 64% and 7% in Study I and 44% and 5% in Study 2 in the Xiaflex and placebo groups respectively.
","Side Effects
Adverse events associated with Xiaflex may include, but are not limited to, the following:
Edema (peripheral, mostly swelling of the injected hand)
Contusion
Injection site reaction
Injection site hemorrhage
Pain in the treated extremity
","Additional Information
For additional information regarding Xiaflex or Dupuytrenâ€™s contracture, please visit the Xiaflex web page.","Mechanism of Action
Xiaflex contains purified collagenase clostridium histolyticum, consisting of two microbial collagenases in a defined mass ratio, Collagenase AUX-I and Collagenase AUX-II, which are isolated and purified from the fermentation of Clostridium histolyticum bacteria. Collagenases are proteinases that hydrolyze collagen in its native triple helical conformation under physiological conditions, resulting in lysis of collagen deposits. Injection of Xiaflex into a Dupuytrenâ€™s cord, which is comprised mostly of collagen, may result in enzymatic disruption of the cord.
Literature References
Hurst LC, Badalamente MA, Hentz VR, Hotchkiss RN, Kaplan FT, Meals RA, Smith TM, Rodzvilla J; CORD I Study Group Injectable collagenase clostridium histolyticum for Dupuytren's contracture. The New England Journal of Medicine 2009 Sep 3;361(10):968-79
"
Dyskinesias,Gocovri (amantadine),"General Information
Gocovri (amantadine) is a weak uncompetitive antagonist of the NMDA receptor. The mechanism by which amantadine exerts efficacy in the treatment of dyskinesia in patients with Parkinsonâ€™s disease is unknown.
Gocovri is specifically indicated for the treatment of dyskinesia in patients with Parkinsonâ€™s disease receiving levodopa-based therapy, with or without concomitant dopaminergic medications.
Gocovri is supplied as an extended release capsule for oral administration. The initial daily dosage is 137 mg; after 1 week, increase to the recommended daily dosage of 274 mg. Administer orally once daily at bedtime. The capsules may be swallowed whole or the contents may be sprinkled on soft food. A lower dosage is recommended for patients with moderate or severe renal impairment.
Clinical Results
FDA Approval
The FDA approval of Gocovri was based on two Phase III controlled clinical trials in Parkinsonâ€™s disease patients with dyskinesia. In Study 1, patients treated with Gocovri demonstrated statistically significant and clinically relevant reductions in dyskinesia, with a 37 percent reduction in Unified Dyskinesia Rating Scale (UDysRS) total score vs. 12 percent for placebo at Week 12. In Study 2 Gocovri achieved a 46 percent reduction in UDysRS vs. 16 percent for placebo. Additionally, key secondary data from Parkinsonâ€™s disease patient reported diaries in Study 1 and Study 2 respectively, showed that Gocovri-treated patients experienced a 3.6 and 4.0 hour increase in functional time daily (defined as ON time without troublesome dyskinesia) vs. a 0.8 and 2.1 hour increase for placebo-treated patients at Week 12. The increases in functional time were achieved by decreases in both ON time with troublesome dyskinesia and OFF time. The placebo-adjusted reduction in OFF time in both studies was approximately 1 hour per day.
","Side Effects
Adverse effects associated with the use of Gocovri may include, but are not limited to, the following:
hallucination
dizziness
dry mouth
peripheral edema
constipation
fall
orthostatic hypotension
","Additional Information
For additional information regarding Gocovri or Parkinson's disease related dyskinesia, please visit https://www.gocovri.com/","Mechanism of Action
Gocovri (amantadine) is a weak uncompetitive antagonist of the NMDA receptor. The mechanism by which amantadine exerts efficacy in the treatment of dyskinesia in patients with Parkinsonâ€™s disease is unknown. Amantadine has not been shown to possess direct anticholinergic activity in animal studies; however, it exhibits anticholinergic-like side effects such as dry mouth, urinary retention, and constipation in humans. Amantadine may have direct and indirect effects on dopamine neurons; it exerts dopaminergic-like side effects such as hallucinations and dizziness in humans.
"
Dystonias,Xeomin (incobotulinumtoxinA),"General Information
Xeomin is a Clostridium botulinum type - A neurotoxin complex. Clostridium botulinum toxin type A is a bacterial toxin that prevents nerves from functioning normally (a neurotoxin). It prevents nerves from releasing a chemical called acetylcholine, which is essential for the nerves to communicate with muscle cells. This toxin therefore prevents muscles from receiving nerve stimulation. Botulinum toxin type A causes muscle paralysis until such time as the nerve develops new endings to communicate with the muscles. This it is useful for treating conditions where excessive nerve stimulation to muscles is causing abnormal muscle functioning or spasms.
Xeomin is specifically indicated for adults with cervical dystonia to decrease the severity of abnormal head position and neck pain in both botulinum toxin-naÃ¯ve and previously treated patients and for the treatment of adults with blepharospasm who were previously treated with onabotulinumtoxinA (Botox). Xeomin has also been approved as a first line treatment for blepharospasm and to treat chronic sialorrhea (excessive drooling) in adult patients.
Xeomin is supplied as a solution for intramuscular injection. The recommended initial doses are as follows:
cervical dystonia
120 Units usually injected into the sternocleidomastoid, levator scapulae, splenius capitis, scalenus, and/or the trapezius muscle(s). The dose and number of injection sites in each treated muscle should be individualized based on the number and location of the muscle(s) to be treated, the degree of spasticity/dystonia, muscle mass, body weight, and response to any previous botulinum toxin injections.
blepharospasm
The recommended initial total dose of Xeomin should be the same dose as the patientâ€™s previous treatment of onabotulinumtoxinA (Botox). If the previous dose of Botox is not known, the initial dose of Xeomin should be between 1.25-2.5 Units/injection site. The total dose should not exceed 70 Units (35 Units/eye).
Clinical Results
FDA Approval
The FDA approval of Xeomin was based on the following studies:
cervical dystonia
A randomized, double-blind, placebo-controlled, multi-center phase III trial enrolled 233 patients with cervical dystonia. The baseline Toronto Western Spasmodic Torticollis Rating Scale (TWSTRS) total score â‰¥20, TWSTRS severity score â‰¥10, TWSTRS disability score â‰¥3, and TWSTRS pain score â‰¥1. The subjects received a single administration of Xeomin 240 Units (n=81), Xeomin 120 Units (n=78), or placebo (n=74). The investigator at each site decided which muscles would receive injections of Xeomin, the number of injection sites, and the volume at each site. The primary efficacy endpoint was the change in the TWSTRS total score from baseline to Week 4 post-injection. In the ITT population, the difference between the Xeomin 240 Unit group and the placebo group in the change of the TWSTRS total score from baseline to Week 4 was -9.0 points; the difference between the Xeomin 120 Unit group and the placebo group in the change of the TWSTRS total score from baseline to Week 4 was -7.5 points. Both results were statistically significant over placebo (p<0.001).
Blepharospasm
A randomized, double-blind, placebo-controlled, multi-center phase III trial enrolled 109 patients with blepharospasm. The baseline Jankovic Rating Scale (JRS) Severity subscore â‰¥2, and a stable satisfactory therapeutic response to previous administrations of onabotulinumtoxinA (Botox). At least 10 weeks had to have elapsed since the most recent onabotulinumtoxinA administration. The subjects were randomized to receive a single administration of Xeomin or placebo. The Xeomin treatment (dose, volume, dilution, and injection sites per muscle) that was similar to the most recent onabotulinumtoxinA injection sessions prior to study entry. The highest dose permitted in this study was 50 Units per eye; the mean Xeomin dose was 33 Units per eye. The primary efficacy endpoint was the change in the JRS Severity subscore from baseline to Week 6 post-injection. The difference between the Xeomin arm and the placebo arm in the change of the JRS Severity subscore from baseline to Week 6 was -1.0 (p<0.001).
","Side Effects
Adverse events associated with the use of Xeomin for cervical dystonia may include, but are not limited to, the following:
Dysphagia
Neck pain
Muscle weakness
Injection site pain
Musculoskeletal pain
Adverse events associated with the use of Xeomin for blepharospasm may include, but are not limited to, the following:
Eyelid ptosis
Dry eye
Dry mouth
Diarrhea
Headache
Visual impairment
Dyspnea
Nasopharyngitis
Respiratory tract infection
","Additional Information
For additional information regarding Xeomin or cervical dystonias or blephorspasm, please visit the Merz web page.""COPD (Chronic Obstructive Pulmonary Disease)","Mechanism of Action
Xeomin blocks cholinergic transmission at the neuromuscular junction by inhibiting the release of acetylcholine from peripheral cholinergic nerve endings. This inhibition occurs according to the following sequence: neurotoxin binding to cholinergic nerve terminals, internalization of the neurotoxin into the nerve terminal, translocation of the light-chain part of the molecule into the cytosol of the nerve terminal, and enzymatic cleavage of SNAP25, a presynaptic target protein essential for the release of acetylcholine. Impulse transmission is re-established by the formation of new nerve endings.
Literature References
Dressler D Botulinum toxin for treatment of dystonia. European Journal of Neurology : the official journal of the European Federation of Neurological Societies 2010 Jul;17 Suppl 1:88-96.
Jankovic J Clinical efficacy and tolerability of Xeomin in the treatment of blepharospasm. European Journal of Neurology : the official journal of the European Federation of Neurological Societies 2009 Dec;16 Suppl 2:14-8.
"
COPD (Chronic Obstructive Pulmonary Disease),Anoro Ellipta (umeclidinium and vilanterol inhalation powder),"General Information
Anoro Ellipta is a combination of umeclidinium, an anticholinergic, and vilanterol, a long-acting beta2-adrenergic agonist (LABA).
Anoro Ellipta is specifically indicated for the long-term, once-daily, maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease, including chronic bronchitis and/or emphysema.
Anoro Ellipta is supplied as a powder formulation for inhalation. The recommended dose is one inhalation of Anoro Ellipta once daily. Anoro Ellipta should be administered at the same time every day. The dose should not exceed one dose every 24 hours.
Clinical Results
FDA Approval
The FDA approval of Anoro Ellipta was based on the following trials:
Dose-ranging trials
Dose selection for the Anoro Ellipta confirmatory trials was based on dose ranging studies of the individual components: vilanterol and umeclidinium. Based on the findings from these studies, once-daily doses of umeclidinium/vilanterol 62.5 mcg/25 mcg and umeclidinium/vilanterol 125mcg/25 mcg were evaluated in the confirmatory COPD trials.
Confirmatory Trials
Two 6-month, active controlled trials enrolled 4,733 subjects, 40 yeasr of age and older, with a history of smoking. Trial 1 evaluated Anoro Ellipta (umeclidinium/vilanterol 62.5 mcg/25 mcg), umeclidinium 62.5 mcg, vilanterol 25 mcg, and placebo. The primary endpoint was change from baseline in trough (predose) FEV1 at Day 169 (defined as the mean of the FEV1 values obtained at 23 and 24 hours after the previous dose on Day 168) compared with placebo, umeclidinium 62.5 mcg, and vilanterol 25 mcg. This was reached; Anoro Ellipta demonstrated a larger increase in mean change from baseline in trough (predose) FEV1 relative to placebo, umeclidinium 62.5 mcg, and vilanterol 25 mcg. Trial 2 had a similar study design as Trial 1 but evaluated umeclidinium/vilanterol 125 mcg/25 mcg, umeclidinium 125 mcg, vilanterol 25 mcg, and placebo. Results for umeclidinium/vilanterol 125 mcg/25 mcg in Trial 2 were similar to those observed for Anoro Ellipta in Trial 1.
","Side Effects
Adverse effects associated with the use of Anoro Ellipta may include, but are not limited to, the following:
pharyngitis
sinusitis
lower respiratory tract infection
constipation
diarrhea
pain in extremity
muscle spasms
neck pain
chest pain
","Additional Information
For additional information regarding Anoro Ellipta or COPD, please visit the GlaxoSmithKline web page.","Mechanism of Action
Anoro Ellipta is a combination of umeclidinium, an anticholinergic, and vilanterol, a long-acting beta2-adrenergic agonist (LABA).
Literature References
Donohue JF, Maleki-Yazdi MR, Kilbride S, Mehta R, Kalberg C, Church A Efficacy and safety of once-daily umeclidinium/vilanterol 62.5/25 mcg in COPD Respiratory Medicine 2013 Oct;107(10):1538-46
Kelleher DL, Mehta RS, Jean-Francois BM, Preece AF, Blowers J, Crater GD, Thomas P Safety, tolerability, pharmacodynamics and pharmacokinetics of umeclidinium and vilanterol alone and in combination: a randomized crossover trial. PLoS One 2012;7(12):e50716
Feldman G, Walker RR, Brooks J, Mehta R, Crater G 28-Day safety and tolerability of umeclidinium in combination with vilanterol in COPD: a randomized placebo-controlled trial. Pulmonary Pharmacology and Therapeutics 2012 Dec;25(6):465-71
"
COPD (Chronic Obstructive Pulmonary Disease),Arcapta (indacaterol maleate inhalation powder),"General Information
Arcapta contains the active ingredient indacaterol, a long-acting beta2-adrenergic agonist. When inhaled, indacaterol acts locally in the lung as a bronchodilator.
Arcapta is specifically approved for the treatment of airflow obstruction in patients with chronic obstructive pulmonary disease, including chronic bronchitis and/or emphysema.
Arcapta is supplied with inhalation powder capsules and an inhaler. The recommended dose is the once-daily inhalation of the contents of one 75 mcg Arcapta capsule using the Neohaler inhaler. Arcapta should be administered once daily every day at the same time of the day by the orally inhaled route only.
Clinical Results
FDA Approval
The FDA approval of Arcpata was based on three dose-ranging trials and six confirmatory trials.
Dose-ranging trials:
Dose selection for Arcapta for COPD was based on three dose-ranging trials: Trial 1, a two-week dose-ranging trial in an asthma population; Trial 2, a two-week dose-ranging trial in a COPD population; and Trial 3, a 26-week adaptive seamless design trial that included an initial two-week dose ranging phase. Although Arcapta is not indicated for asthma, dose selection was primarily based upon the results from the dose-ranging trial in asthma patients (Trial 1) as an asthma population is the most responsive to beta-agonist bronchodilation and is most likely to demonstrate a dose response. Trial 2 and 3 evaluated dose-ranging in COPD patients and provided supportive information.
Dose-Ranging in Asthma
Trial 1 was a two-week, randomized, double-blinded, placebo-controlled design that enrolled 511 adults with persistent asthma. Trial 1 included Arcapta doses of 18.75, 37.5, 75, and 150 mcg once daily, a salmeterol active control group, and placebo. The trial showed that the effect on FEV1 in subjects treated with Arcapta 18.75 and 37.5 mcg doses was lower compared to subjects treated with other Arcapta doses, particularly after the first dose. The effect did not clearly differ between the 75 and 150 mcg doses.
Dose-ranging in COPD
Trial 2 was a two-week, randomized, double-blinded, placebo-controlled design that enrolled 552 subjects with a clinical diagnosis of COPD, who were 40 years or older, had a smoking history of at least 10 pack years. The subjects received Arcapta doses of 18.75, 37.5, 75 and 150 mcg once daily, a salmeterol active control group, and placebo. The effect on FEV1 in subjects treated with Arcapta 18.75 mcg dose was lower compared to subjects treated with other Arcapta doses. Although a dose-response relationship was observed at Day 1, the effect did not clearly differ among the 37.5, 75 and 150 mcg doses by Day 15. Trial 3 evaluated doses of 75, 150, 300, and 600 mcg once daily, placebo, and two active comparators. Although a dose-response relationship was observed at week 2, the effect did not clearly differ among the Arcapta doses.
Confirmatory Trials:
Six confirmatory randomized, double-blinded placebo and active-controlled trials were conducted:
Trial 3 was a 26-week seamless adaptive design trial that included an initial two week dose-ranging phase. The trial evaluated Arcapta doses of 150 mcg and 300 mcg once daily, placebo, and an active comparator;
Trials 4 and 5 were 12-week trials and evaluated Arcapta 75 mcg once daily, and placebo;
Trial 6 was a 12-week trial that evaluated Arcapta 150 mcg once daily and placebo;
Trial 7 was a 26-week trial that evaluated Arcapta 150 mcg once daily, an active comparator, and placebo, and
Trial 8 was a 52 week trial that evaluated Arcapta 300 mcg and 600 mcg once daily, an active comparator, and placebo.
A total of 5,474 subjects were enrolled. All subjects had a clinical diagnosis of COPD, were 40 years or older, had a smoking history of at least 10 pack years, had a post-bronchodilator FEV1 less than 80% and at least 30% of the predicted normal value and a post-bronchodilator ratio of FEV1 over FVC of less than 70%. The primary efficacy endpoint was 24-hour post-dose trough FEV1 after 12 weeks of treatment. In all six confirmatory COPD trials, all doses of Arcapta tested (75 mcg, 150 mcg, 300 mcg, and 600 mcg) showed significantly greater 24-hour post-dose trough FEV1 compared to placebo at 12 weeks. In addition, serial FEV1 measurements in patients treated with Arcapta demonstrated a bronchodilatory treatment effect after the first dose compared to placebo at 5 minutes post dose of 0.09 L (Trial 4) and 0.10 L (Trial 5). The mean peak improvement relative to baseline within the first 4 hours after the first dose (Day 1) was 0.19 L (Trial 4) and 0.22 L (Trial 5) and was 0.24 L (Trial 4) and 0.27 L (Trial 5) after 12 weeks. Improvement in lung function observed at week 4 was consistently maintained over the 12-week treatment period in both trials.
","Side Effects
Adverse events associated with the use of Arcapta may include, but are not limited to, the following:
cough
oropharyngeal pain
nasopharyngitis
headache
nausea
","Additional Information
For additional information regarding Arcapta or airflow obstruction resulting from chronic obstructive pulmonary disease, please visit the Novartis web page.","Mechanism of Action
Arcapta contains the active ingredient indacaterol, a long-acting beta2-adrenergic agonist. When inhaled, indacaterol acts locally in the lung as a bronchodilator.
Literature References
Tashkin DP, Fabbri LM Long-acting beta-agonists in the management of chronic obstructive pulmonary disease: current and future agents. Respiratory Research 2010 Oct 29;11:149
Vogelmeier C, Ramos-Barbon D, Jack D, Piggott S, Owen R, Higgins M, Kramer B; INTIME study investigators (INdacaterol & TIotropium: Measuring Efficacy) Indacaterol provides 24-hour bronchodilation in COPD: a placebo-controlled blinded comparison with tiotropium. Respiratory Research 2010 Oct 5;11:135
Baur F, Beattie D, Beer D, Bentley D, Bradley M, Bruce I, Charlton SJ, Cuenoud B, Ernst R, Fairhurst RA, Faller B, Farr D, Keller T, Fozard JR, Fullerton J, Garman S, Hatto J, Hayden C, He H, Howes C, Janus D, Jiang Z, Lewis C, Loeuillet-Ritzler F, Moser H, Reilly J, Steward A, Sykes D, Tedaldi L, Trifilieff A, Tweed M, Watson S, Wissler E, Wyss D The identification of indacaterol as an ultralong-acting inhaled beta2-adrenoceptor agonist. The Journal of Medicinal Chemistry 2010 May 13;53(9):3675-84
"
COPD (Chronic Obstructive Pulmonary Disease),Bevespi Aerosphere (glycopyrrolate and formoterol fumarate),"General Information
Bevespi Aerosphere is a combination of glycopyrrolate, an anticholinergic, and formoterol fumarate, a long-acting beta2-adrenergic agonist (LABA).
Bevespi Aerosphere is specifically indicated for the long-term, maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (COPD), including chronic bronchitis and/or emphysema.
Bevespi Aerosphere is supplied as an aerosol for oral inhalation. The recommended dose for the maintenance treatment of COPD is two inhalations twice daily in the morning and in the evening. Two inhalations equal one dose.
Clinical Results
FDA Approval
The FDA approval of Bevespi Aerosphere was based on results of the PINNACLE phase III pivotal studies (PINNACLE 1, PINNACLE 2, and a safety extension study, PINNACLE 3) which included over 3,700 patients with moderate to very severe COPD. The studies demonstrated that Bevespi Aerosphere achieved statistically significant improvements in lung function as measured by change from baseline in morning pre-dose trough forced expiratory volume in 1 second (FEV1) at 24 weeks (p<0.001) versus its individual components (glycopyrrolate 9 mcg and formoterol fumarate 4.8 mcg) and placebo.
","Side Effects
Adverse effects associated with the use of Bevespi Aerosphere may include, but are not limited to, the following:
urinary tract infection
cough
Bevespi Aerosphere comes with the following Black Box warning: Long-acting beta2-adrenergic agonists (LABAs), such as formoterol fumarate, one of the active ingredients in Bevespi Aerosphere, increase the risk of asthma-related death. The safety and efficacy of Bevespi Aerosphere in patients with asthma have not been established. Bevespi Aerosphere is not indicated for the treatment of asthma.
","Additional Information
For additional information regarding Bevespi Aerosphere or COPD, please visit https://www.bevespiaerosphere.com/","Mechanism of Action
Bevespi Aerosphere is a combination of glycopyrrolate, an anticholinergic, and formoterol fumarate, a long-acting beta2-adrenergic agonist (LABA).
"
